model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Lamborghini Gallardo LP560-4 (COE till 07/2029),297888,47770,2009-07-11,2008,74000,8168,Auto,26730,259436,42885,259436,5204,412,1500,Sports Car,AVAIL,2023-04-01,2023-04-13,LAMBORGHINI
BMW 3 Series 330i Luxury,159800,21200,2019-04-25,2019,30000,1210,Auto,74116,51230,43102,64214,1998,190,1470,Luxury Sedan,AVAIL,2023-04-09,2023-04-09,BMW
Mercedes-Benz AMG GT Roadster C 4.0A,469855,56878,2019-05-16,2017,35452,3922,Auto,168711,124156,33989,195481,3982,410,1735,Sports Car,AVAIL,2023-04-04,2023-04-09,MERCEDES-BENZ
Volkswagen Scirocco 2.0A TSI Sunroof (COE till 04/2030),83988,11930,2010-05-03,2010,144317,1552,Auto,23636,27840,33568,27840,1984,147,1318,Sports Car,AVAIL,2023-04-16,2023-04-16,VOLKSWAGEN
BMW 3 Series 320i Highline,173800,19250,2020-10-15,2020,33000,1210,Auto,74698,47796,40690,58915,1998,135,1460,Luxury Sedan,AVAIL,2023-04-15,2023-04-15,BMW
Infiniti Q70 2.5A,100898,23126,2014-02-28,2013,132561,1794,Auto,42299,36658,75300,43322,2496,163,1670,Luxury Sedan,SOLD,2023-03-28,2023-04-12,INFINITI
Toyota Alphard 2.5A S C-Package Moonroof,238800,33120,2019-07-29,2019,57000,1792,Auto,68528,49487,35906,61282,2493,134,2030,MPV,AVAIL,2023-04-15,2023-04-15,TOYOTA
Volkswagen Golf R 5DR Sunroof (COE till 07/2030),110888,15220,2010-07-30,2010,140000,1552,Auto,24454,37774,33568,37774,1984,188,1466,Sports Car,AVAIL,2023-03-29,2023-04-09,VOLKSWAGEN
Honda N-Van Turbo Style Fun Honda Sensing,86888,8800,2023-02-27,2022,29,649,Auto,63593,17086,64423,855,658,87,960,Van,AVAIL,2023-04-13,2023-04-13,HONDA
Honda Vezel 1.5A X Honda Sensing,51800,15170,2016-05-10,2015,113800,682,Auto,20879,20484,45504,10678,1496,96,1190,SUV,AVAIL,2023-04-14,2023-04-14,HONDA
Mercedes-Benz E-Class E220d,106800,23350,2016-10-14,2016,90423,1734,Auto,52057,51939,55201,50491,1950,143,1740,Luxury Sedan,AVAIL,2023-04-04,2023-04-11,MERCEDES-BENZ
Volkswagen Golf Cabriolet 1.4A TSI (COE till 01/2032),89800,10270,2012-01-11,2011,151840,744,Auto,47214,34858,54039,34858,1390,118,1503,Sports Car,AVAIL,2023-04-05,2023-04-17,VOLKSWAGEN
Mazda CX-5 2.0A Premium,96800,16590,2018-03-12,2018,88600,1210,Auto,47963,27806,54334,30929,1998,121,1571,SUV,AVAIL,2023-04-14,2023-04-14,MAZDA
Honda Shuttle Hybrid 1.5A,71800,15990,2017-08-17,2017,64000,682,Auto,25158,20331,50101,5000,1496,101,1190,Stationwagon,AVAIL,2023-04-14,2023-04-14,HONDA
Volkswagen Polo 1.0A TSI Comfortline,111900,11920,2021-12-07,2021,5200,392,Auto,53982,17814,47010,17814,999,85,1190,Hatchback,AVAIL,2023-04-10,2023-04-13,VOLKSWAGEN
Lexus ES Hybrid ES300h Luxury Sunroof,169800,23610,2019-02-19,2019,55750,1784,Auto,66474,50857,32200,63543,2487,160,1680,Luxury Sedan,AVAIL,2023-04-03,2023-04-03,LEXUS
Mazda 3 1.5A Sunroof,62500,12950,2017-09-28,2017,79028,682,Auto,27504,14761,46489,9761,1496,88,1310,Mid-Sized Sedan,AVAIL,2023-03-25,2023-04-03,MAZDA
Mitsubishi Outlander 2.0A,133800,14510,2021-11-26,2021,15000,1210,Auto,81821,17673,79601,17673,1998,110,1480,SUV,AVAIL,2023-04-16,2023-04-16,MITSUBISHI
Honda Civic Type R 2.0M (COE till 08/2027),102000,23330,2007-08-31,2007,145663,1815,Manual,22274,27478,50972,30226,1998,165,1270,Sports Car,AVAIL,2023-04-07,2023-04-07,HONDA
BMW 5 Series ActiveHybrid 5 Sunroof (COE till 02/2032),155800,17550,2012-11-08,2012,145000,2598,Auto,71509,63366,80583,38020,2979,250,1850,Luxury Sedan,AVAIL,2023-03-27,2023-03-27,BMW
Audi A3 Sedan 1.0A TFSI S-tronic,85800,14790,2018-03-12,2018,54000,392,Auto,36659,24701,36810,26582,999,85,1280,Luxury Sedan,AVAIL,2023-04-15,2023-04-17,AUDI
Porsche Macan Turbo 3.6A PDK,220000,50790,2015-12-28,2015,64000,3330,Auto,115706,107698,60001,165857,3604,294,2000,SUV,AVAIL,2023-04-13,2023-04-13,PORSCHE
Honda Odyssey 2.4A Absolute Plus 20th Anniversary,100800,19620,2017-06-23,2015,84795,1630,Auto,47930,32448,52000,37428,2356,140,1810,MPV,AVAIL,2023-03-28,2023-03-28,HONDA
Hyundai Santa Fe 2.4A GLS Sunroof,43800,18710,2014-11-14,2014,78000,1634,Auto,26893,26111,70890,28556,2359,141,1874,SUV,AVAIL,2023-04-14,2023-04-14,HYUNDAI
BMW X5 xDrive35i 7-Seater,112553,29600,2015-09-10,2014,88188,2362,Auto,63731,61676,60101,83017,2979,225,2030,SUV,AVAIL,2023-04-11,2023-04-11,BMW
Ferrari California 4.3A (COE till 07/2031),297552,36953,2011-07-19,2011,80743,5297,Auto,43965,270017,57955,270017,4297,338,1780,Sports Car,SOLD,2023-04-05,2023-04-13,FERRARI
BMW 2 Series 216i Gran Tourer,100800,16050,2018-06-28,2018,70000,684,Auto,45176,30479,36890,34671,1499,75,1480,MPV,AVAIL,2023-04-05,2023-04-17,BMW
BMW 2 Series 218i Convertible Sport,131366,20171,2019-01-28,2018,66412,684,Auto,50149,36709,32909,43393,1499,100,1520,Sports Car,SOLD,2023-04-14,2023-04-16,BMW
BMW M235i Gran Coupe xDrive,259800,25190,2022-04-08,2021,5200,1210,Auto,127917,52876,99999,67177,1998,225,1570,Sports Car,AVAIL,2023-04-10,2023-04-10,BMW
BMW M3 Sedan,222800,53060,2016-07-25,2015,48000,2362,Auto,82617,70248,57390,98447,2979,317,1560,Sports Car,AVAIL,2023-04-13,2023-04-13,BMW
BMW 5 Series 523i XL (COE till 11/2027),58998,12770,2007-11-29,2007,141098,2694,Auto,23173,52639,50168,57903,2497,140,1600,Luxury Sedan,AVAIL,2023-04-14,2023-04-14,BMW
Hyundai Avante 1.6A (COE till 02/2024),11310,12057,2009-04-27,2009,167925,1033,Auto,2410,11704,12864,11704,1591,90,1264,Mid-Sized Sedan,SOLD,2023-03-29,2023-04-10,HYUNDAI
Honda Stream 1.8A (COE till 12/2028),64800,11430,2008-12-16,2008,151000,1467,Auto,17886,23847,31553,23847,1799,103,1370,MPV,AVAIL,2023-04-15,2023-04-16,HONDA
Mercedes-Benz A-Class A200 Sunroof (New 5-yr COE),84625,16796,2013-07-18,2013,91626,740,Auto,36678,28017,58162,21224,1595,115,1395,Hatchback,SOLD,2023-04-01,2023-04-05,MERCEDES-BENZ
Toyota Sienta Hybrid 1.5A X,101800,14670,2019-08-28,2019,53221,682,Auto,29580,24869,26659,16817,1496,73,1380,MPV,AVAIL,2023-04-08,2023-04-08,TOYOTA
Porsche Cayenne 3.6A Tip (New 10-yr COE),188888,18870,2013-03-20,2012,83338,3654,Auto,67877,99929,51981,99929,3598,220,2105,SUV,AVAIL,2023-04-03,2023-04-10,PORSCHE
Hyundai Elantra 1.6A GLS S,66897,12243,2018-03-21,2018,102155,738,Auto,26532,11641,38830,11641,1591,94,1345,Mid-Sized Sedan,SOLD,2023-04-16,2023-04-16,HYUNDAI
Mercedes-Benz CLA-Class CLA180 AMG Line,110765,13604,2016-11-30,2016,93952,740,Auto,37974,29771,52668,28680,1595,90,1430,Luxury Sedan,SOLD,2023-03-24,2023-03-30,MERCEDES-BENZ
BMW 2 Series 218i Gran Tourer,205237,19906,2022-07-29,2021,17619,684,Auto,115218,35520,95901,41728,1499,100,1505,MPV,SOLD,2023-04-04,2023-04-05,BMW
Volkswagen Scirocco 1.4A TSI Sunroof (COE till 11/2031),81998,9540,2011-11-18,2011,116238,744,Auto,41026,26508,47765,26508,1390,118,1285,Sports Car,AVAIL,2023-04-09,2023-04-12,VOLKSWAGEN
BMW 2 Series 216i Active Tourer,137435,16163,2020-01-28,2019,55073,684,Auto,48752,30044,35010,34062,1499,80,1380,Hatchback,SOLD,2023-04-01,2023-04-03,BMW
Audi Q3 1.4A TFSI S-tronic,108869,16883,2020-08-24,2020,68647,624,Auto,43984,27819,37102,30947,1395,110,1545,SUV,SOLD,2023-03-31,2023-04-10,AUDI
Toyota 86 2.0M (New 10-yr COE),158888,15880,2013-05-02,2012,91000,1210,Manual,84737,29504,43904,33306,1998,147,1239,Sports Car,AVAIL,2023-03-27,2023-04-03,TOYOTA
Honda Civic 1.6A VTi (OPC),62000,14350,2016-12-07,2016,33000,242,Auto,25777,19491,36000,19491,1597,92,1249,Mid-Sized Sedan,AVAIL,2023-04-17,2023-04-17,HONDA
Mercedes-Benz GLA-Class GLA200 Urban Sunroof,113800,18580,2018-05-17,2017,58000,740,Auto,48693,33344,38801,38682,1595,115,1435,SUV,AVAIL,2023-04-07,2023-04-07,MERCEDES-BENZ
Nissan Qashqai 1.2A DIG-T Premium,71800,14180,2017-10-31,2017,78000,508,Auto,29310,19881,41617,14881,1197,85,1325,SUV,AVAIL,2023-04-14,2023-04-14,NISSAN
Mercedes-Benz E-Class E200 Mild Hybrid Avantgarde,265000,25080,2022-06-27,2022,15000,1202,Auto,144034,53633,100684,68540,1991,155,1625,Luxury Sedan,AVAIL,2023-04-13,2023-04-13,MERCEDES-BENZ
Volkswagen Sportsvan 1.4A Highline Sunroof,81588,15560,2017-09-19,2016,58000,624,Auto,33742,27472,36001,25461,1395,92,1383,Hatchback,AVAIL,2023-03-29,2023-03-29,VOLKSWAGEN
BMW 2 Series 216d Gran Tourer Luxury,83800,17900,2017-03-31,2016,57000,1082,Auto,37018,31478,53001,26070,1496,85,1480,MPV,AVAIL,2023-04-11,2023-04-11,BMW
BMW 1 Series 116d,75388,15230,2017-10-11,2017,39000,1082,Auto,26054,26538,36001,14154,1496,85,1350,Hatchback,AVAIL,2023-04-15,2023-04-15,BMW
Audi A4 1.8A TFSI MU,37800,19360,2014-08-30,2014,116800,976,Auto,21754,28964,69001,22550,1798,125,1545,Luxury Sedan,AVAIL,2023-03-27,2023-04-15,AUDI
Hyundai Avante 1.6A S (COE till 11/2024),16935,10909,2009-11-10,2009,162717,1033,Auto,4950,11465,16208,11465,1591,90,1264,Mid-Sized Sedan,SOLD,2023-04-07,2023-04-13,HYUNDAI
BMW 2 Series 216i Gran Tourer,89888,15450,2017-12-21,2017,167425,684,Auto,44454,30858,42339,35202,1499,75,1480,MPV,AVAIL,2023-04-16,2023-04-16,BMW
BMW 2 Series 216i Gran Tourer,85000,16090,2017-08-11,2017,119000,684,Auto,40711,27881,44002,31034,1499,75,1480,MPV,AVAIL,2023-03-30,2023-04-03,BMW
Lexus IS250 (COE till 12/2030),87759,11906,2011-05-13,2010,147087,2160,Auto,30109,38280,40714,38280,2500,153,1625,Luxury Sedan,SOLD,2023-04-02,2023-04-14,LEXUS
Mercedes-Benz C-Class C160 Avantgarde,150888,17370,2020-10-30,2020,81130,684,Auto,58879,34175,41001,39845,1497,95,1505,Luxury Sedan,AVAIL,2023-04-08,2023-04-08,MERCEDES-BENZ
Mercedes-Benz B-Class B180 Progressive,163800,17370,2021-08-31,2021,11000,586,Auto,68166,31940,48510,36716,1332,96,1405,Hatchback,AVAIL,2023-04-15,2023-04-15,MERCEDES-BENZ
Mazda MX-5 2.0A,106800,21610,2017-03-30,2015,57359,1210,Auto,46888,36337,48556,42872,1998,118,1080,Sports Car,AVAIL,2023-04-06,2023-04-16,MAZDA
Mercedes-Benz C-Class C180 Avantgarde,74300,24430,2015-07-21,2015,58970,740,Auto,38265,35294,71509,36412,1595,115,1425,Luxury Sedan,SOLD,2023-03-25,2023-04-10,MERCEDES-BENZ
Land Rover Range Rover Evoque 2.0A 5DR Sunroof,142888,19390,2019-01-30,2017,45000,1210,Auto,64555,49442,32200,61219,1997,177,1752,SUV,AVAIL,2023-04-02,2023-04-02,LAND-ROVER
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo,86998,15880,2018-04-04,2018,86085,738,Auto,32533,16204,42661,16204,1591,130,1594,SUV,AVAIL,2023-04-14,2023-04-14,HYUNDAI
Lamborghini Huracan LP610-4,698000,122060,2017-04-11,2015,19000,5834,Auto,296761,250830,54501,423494,5204,449,1532,Sports Car,AVAIL,2023-03-29,2023-03-29,LAMBORGHINI
Volkswagen Jetta 1.4A TSI,29800,15800,2014-11-26,2014,115000,620,Auto,15354,18703,65710,8703,1390,90,1417,Mid-Sized Sedan,AVAIL,2023-04-10,2023-04-17,VOLKSWAGEN
Mercedes-Benz GLA-Class GLA200 AMG Line,208800,23060,2021-06-30,2020,38000,586,Auto,75288,33644,56032,39102,1332,120,1485,SUV,AVAIL,2023-04-05,2023-04-05,MERCEDES-BENZ
Subaru XV 1.6i-S,67928,15337,2017-04-17,2016,82264,744,Auto,29514,15421,51765,15421,1600,84,1480,SUV,AVAIL,2023-04-11,2023-04-17,SUBARU
BMW 5 Series 528i M-Sport (New 10-yr COE),169888,16970,2013-06-28,2012,63303,1210,Auto,73397,54450,61047,65010,1997,180,1620,Luxury Sedan,AVAIL,2023-04-13,2023-04-14,BMW
Toyota Corolla Altis 1.6A (COE till 01/2028),81580,13174,2008-03-26,2008,60927,1113,Auto,32223,16994,42970,18694,1598,80,1195,Mid-Sized Sedan,SOLD,2023-04-04,2023-04-05,TOYOTA
Bentley Flying Spur 4.0A V8,1360000,115300,2023-03-23,2022,200,3944,Auto,428722,222031,108051,428469,3996,404,2330,Mid-Sized Sedan,AVAIL,2023-04-15,2023-04-15,BENTLEY
Mercedes-Benz C-Class C180 CGI,112941,12083,2014-10-27,2014,117551,740,Auto,42794,29309,73010,28033,1595,115,1485,Luxury Sedan,AVAIL,2023-04-07,2023-04-13,MERCEDES-BENZ
Toyota Estima 2.4A Aeras (COE till 11/2027),111294,22167,2008-03-13,2007,96516,2457,Auto,31583,29871,50168,29871,2362,125,1770,MPV,SOLD,2023-03-31,2023-04-03,TOYOTA
Subaru Forester 2.5T (COE till 12/2026),85888,23520,2006-12-11,2006,109570,2625,Manual,20139,21030,55187,23133,2457,169,1510,SUV,AVAIL,2023-03-26,2023-03-26,SUBARU
Suzuki Swift Sport 1.6A (COE till 03/2025),24800,12710,2010-03-30,2009,155000,957,Auto,6478,16106,16604,16106,1586,92,1100,Hatchback,AVAIL,2023-04-15,2023-04-15,SUZUKI
Mazda CX-5 2.5A Luxury Sunroof,63900,16590,2016-03-31,2015,82000,1786,Auto,31904,27014,48002,29820,2488,141,1568,SUV,AVAIL,2023-03-24,2023-04-17,MAZDA
Hyundai Avante 1.6A GLS,86800,11980,2020-01-03,2019,27000,738,Auto,29630,12647,30000,12647,1591,94,1345,Mid-Sized Sedan,AVAIL,2023-03-24,2023-04-03,HYUNDAI
Honda HR-V 1.5A DX,86564,14391,2018-06-22,2018,60712,682,Auto,33545,19096,36426,19096,1496,96,1185,SUV,SOLD,2023-04-16,2023-04-16,HONDA
Volvo V40 Diesel D2,31800,15280,2015-01-16,2014,112061,1144,Auto,17092,23641,66010,10098,1560,84,1427,Hatchback,AVAIL,2023-04-04,2023-04-05,VOLVO
Mazda 3 1.5A Sunroof,54050,12320,2017-04-18,2017,84592,682,Auto,26444,14476,50101,9476,1496,88,1310,Mid-Sized Sedan,SOLD,2023-04-03,2023-04-14,MAZDA
Peugeot 308 1.2A PureTech Active,87475,15193,2015-08-21,2015,75855,508,Auto,34267,16183,55889,6183,1199,96,1150,Hatchback,SOLD,2023-04-08,2023-04-08,PEUGEOT
Porsche Macan Diesel S 3.0A PDK,129800,67640,2014-07-08,2014,140000,3336,Auto,59689,70516,65700,93929,2967,190,1955,SUV,AVAIL,2023-04-12,2023-04-13,PORSCHE
BMW 4 Series 420i Coupe Sunroof,166800,20780,2019-11-29,2019,39000,1210,Auto,70260,47396,40009,58355,1998,135,1495,Sports Car,AVAIL,2023-04-17,2023-04-17,BMW
Audi S5 Coupe 3.0A TFSI Quattro S-Tronic,103300,30340,2015-02-27,2013,68800,2380,Auto,63819,67439,66751,93391,2995,245,1675,Sports Car,AVAIL,2023-04-15,2023-04-15,AUDI
Audi Q3 1.4A TFSI S-tronic,152300,17310,2021-03-12,2020,30000,624,Auto,58731,27785,45001,30899,1395,110,1545,SUV,AVAIL,2023-04-09,2023-04-11,AUDI
Kia Cerato Forte 1.6A EX (COE till 06/2024),12131,12073,2009-10-26,2009,172715,1033,Auto,3161,11051,14920,11051,1591,93,1251,Mid-Sized Sedan,SOLD,2023-04-11,2023-04-12,KIA
Jaguar E-PACE 2.0A Prestige,171800,28920,2018-06-26,2018,44000,1210,Auto,49996,36558,33900,43182,1997,183,1867,SUV,AVAIL,2023-04-14,2023-04-17,JAGUAR
Hyundai Avante 1.6A GLS S,78800,12450,2019-01-16,2018,51000,738,Auto,25418,14338,25501,14338,1591,94,1345,Mid-Sized Sedan,AVAIL,2023-04-05,2023-04-05,HYUNDAI
Mercedes-Benz GLC-Class GLC300 Coupe 4MATIC,287888,28570,2022-01-19,2021,13000,1202,Auto,126732,57266,80401,75079,1991,190,1795,SUV,AVAIL,2023-04-10,2023-04-13,MERCEDES-BENZ
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,112192,11692,2017-03-29,2016,102556,740,Auto,40257,31899,48401,31659,1595,90,1430,Stationwagon,SOLD,2023-03-25,2023-03-28,MERCEDES-BENZ
Audi A6 2.0A TFSI MU,103946,20911,2014-01-21,2013,133963,1194,Auto,44178,38187,73010,40462,1984,132,1565,Luxury Sedan,AVAIL,2023-03-30,2023-04-06,AUDI
BMW 6 Series 640i Gran Coupe (COE till 10/2032),185888,19540,2012-10-19,2012,102000,2598,Auto,104266,80163,109643,80163,2979,235,1750,Luxury Sedan,AVAIL,2023-04-07,2023-04-07,BMW
BMW 2 Series 218i Gran Coupe M-Sport,149000,16480,2021-01-15,2020,40000,684,Auto,70049,36049,49300,42469,1499,103,1375,Luxury Sedan,AVAIL,2023-03-24,2023-03-24,BMW
Mitsubishi Lancer EX 2.0A GT (COE till 01/2029),80888,14030,2009-01-21,2008,196000,1815,Auto,18063,24352,31335,23220,1998,114,1427,Mid-Sized Sedan,AVAIL,2023-04-08,2023-04-08,MITSUBISHI
Toyota Yaris Cross Hybrid 1.5A Active,118500,13370,2021-08-26,2021,7000,680,Auto,47675,26008,45001,13412,1490,82,1190,SUV,AVAIL,2023-03-25,2023-04-10,TOYOTA
Audi A4 1.4A TFSI S-tronic,89370,14580,2017-03-31,2017,111020,624,Auto,39816,32091,54000,26928,1395,110,1450,Luxury Sedan,SOLD,2023-04-01,2023-04-10,AUDI
BMW 2 Series 218i Active Tourer,39600,15900,2015-02-27,2014,65112,684,Auto,23348,27047,67901,19866,1499,100,1360,Hatchback,AVAIL,2023-04-17,2023-04-17,BMW
BYD T3 Electric,123800,12860,2022-11-30,2022,33867,899,Auto,47040,23078,48874,1154,2247,86,1620,Van,AVAIL,2023-04-13,2023-04-13,BYD
Toyota Rush 1.5A X (COE till 05/2024),17149,13505,2009-07-24,2009,173954,955,Auto,3640,18223,13943,18223,1495,80,1160,SUV,SOLD,2023-03-28,2023-03-29,TOYOTA
Toyota Prius Hybrid 1.8A S,69385,16378,2017-04-13,2016,67943,974,Auto,25144,28124,54000,5000,1797,90,1360,Hatchback,SOLD,2023-03-27,2023-03-28,TOYOTA
Nissan Qashqai 1.2A DIG-T,48999,13530,2016-05-25,2016,101047,508,Auto,23948,18974,47889,13974,1197,85,1285,SUV,AVAIL,2023-04-15,2023-04-15,NISSAN
Mercedes-Benz S-Class S300L Sunroof (COE till 05/2029),74888,12250,2009-05-28,2008,155000,3335,Auto,24182,82986,39563,82986,2997,170,1850,Luxury Sedan,AVAIL,2023-04-10,2023-04-14,MERCEDES-BENZ
Mercedes-Benz A-Class A200 Style,109339,28250,2016-10-10,2016,35628,740,Auto,34284,24971,57508,21960,1595,115,1395,Hatchback,AVAIL,2023-03-28,2023-04-03,MERCEDES-BENZ
Honda Accord 2.0A (COE till 05/2028),59800,11770,2008-05-15,2008,120000,1815,Auto,19664,29692,38712,29692,1997,115,1505,Luxury Sedan,AVAIL,2023-04-13,2023-04-13,HONDA
BYD T3 Electric,124800,12530,2023-03-31,2022,10,544,Auto,33468,23078,33615,1154,1603,81,1620,Van,AVAIL,2023-04-11,2023-04-11,BYD
Honda N-Van Turbo Style Fun Honda Sensing,86800,9020,2022-11-30,2022,454,651,Auto,60015,16489,62355,825,658,87,960,Van,AVAIL,2023-04-06,2023-04-06,HONDA
Honda Vezel 1.5A X,87800,14460,2018-11-23,2018,65235,682,Auto,24136,22504,25000,13506,1496,96,1190,SUV,AVAIL,2023-04-04,2023-04-12,HONDA
Mazda 5 2.0A (COE till 09/2028),61800,11440,2008-09-10,2008,106756,1818,Auto,18024,20664,33377,20664,1999,107,1527,MPV,AVAIL,2023-04-11,2023-04-11,MAZDA
Toyota Voxy Hybrid 1.8A V,173800,20450,2021-02-09,2019,21000,974,Auto,59153,36274,49001,27784,1797,100,1620,MPV,AVAIL,2023-04-14,2023-04-17,TOYOTA
Volkswagen Golf 1.4A TSI (COE till 04/2024),13400,12910,2009-07-31,2009,148983,868,Auto,2711,21883,13088,21883,1390,90,1241,Hatchback,AVAIL,2023-04-10,2023-04-10,VOLKSWAGEN
Maserati GranTurismo 4.2A (COE till 01/2031),180800,23190,2011-07-29,2011,90000,5198,Auto,33269,93761,42683,93761,4244,298,1880,Sports Car,AVAIL,2023-04-10,2023-04-10,MASERATI
Honda Vezel Hybrid 1.5A X,72215,15925,2017-08-02,2017,69762,682,Auto,24835,29446,50001,5000,1496,112,1280,SUV,SOLD,2023-03-29,2023-03-29,HONDA
Mazda 6 2.0A,83800,14110,2018-07-27,2018,93000,1210,Auto,30290,18599,31001,18599,1998,121,1515,Luxury Sedan,AVAIL,2023-04-15,2023-04-15,MAZDA
Subaru Impreza 5D 2.0A S-GT (COE till 11/2028),78800,14000,2008-12-23,2008,160000,1809,Auto,18076,25958,32121,25958,1994,184,1390,Hatchback,AVAIL,2023-04-16,2023-04-16,SUBARU
Tesla Model 3 Electric Performance AWD,231790,24499,2021-09-03,2021,23344,5384,Auto,90372,72142,61001,56856,2733,377,1844,Luxury Sedan,SOLD,2023-04-02,2023-04-12,TESLA
Volkswagen Golf R 5DR Sunroof (COE till 09/2030),114800,15390,2011-01-10,2010,145000,1552,Auto,26053,37826,34935,37826,1984,188,1466,Sports Car,AVAIL,2023-04-03,2023-04-03,VOLKSWAGEN
Mercedes-Benz GLA-Class GLA180 Urban Edition,122733,16990,2019-02-19,2018,63363,740,Auto,36941,28410,25501,31774,1595,90,1435,SUV,SOLD,2023-03-31,2023-04-15,MERCEDES-BENZ
Honda N-Van Turbo Style Fun Honda Sensing,87103,8942,2023-02-27,2022,44756,569,Auto,61191,16838,62427,842,658,79,920,Van,SOLD,2023-03-27,2023-04-16,HONDA
Mercedes-Benz S-Class S350L (COE till 12/2027),84096,15246,2008-01-16,2007,132590,4746,Auto,26637,83796,51850,92176,3498,200,1925,Luxury Sedan,SOLD,2023-04-08,2023-04-11,MERCEDES-BENZ
Volvo XC60 T5 R-Design Sunroof,84000,18530,2016-07-29,2016,125190,1176,Auto,48986,38820,57508,46348,1969,180,1781,SUV,AVAIL,2023-04-07,2023-04-07,VOLVO
Audi Q5 2.0A TFSI Quattro,93388,19810,2016-11-25,2016,90665,1194,Auto,47611,37035,53001,43849,1984,132,1845,SUV,AVAIL,2023-03-26,2023-03-26,AUDI
Renault Grand Scenic Diesel 1.5A dCi,88000,14580,2018-09-20,2018,66000,1048,Auto,29608,25440,30209,17616,1461,81,1540,MPV,AVAIL,2023-03-31,2023-04-14,RENAULT
Hyundai Avante 1.6A Elite Sunroof,123889,14080,2021-11-02,2021,11589,742,Auto,50352,21487,52709,7082,1598,91,1280,Mid-Sized Sedan,AVAIL,2023-04-09,2023-04-16,HYUNDAI
Lexus RX350 (COE till 09/2027),66800,14990,2007-10-05,2007,116609,4650,Auto,37015,45988,50355,50587,3456,203,1915,SUV,AVAIL,2023-04-08,2023-04-16,LEXUS
Mercedes-Benz E-Class E200 Exclusive,194800,23470,2020-01-16,2019,42500,1202,Auto,81204,55854,39700,72538,1991,145,1640,Luxury Sedan,AVAIL,2023-04-03,2023-04-05,MERCEDES-BENZ
Mercedes-Benz GLE-Class GLE450 AMG 4MATIC,186888,35100,2017-01-20,2016,73000,2382,Auto,92485,76520,56340,109736,2996,270,2180,SUV,AVAIL,2023-03-24,2023-04-11,MERCEDES-BENZ
Toyota Harrier 2.0A Premium Panoramic Roof,111800,17910,2018-08-07,2015,76399,1196,Auto,41471,29559,31001,33383,1986,111,1610,SUV,AVAIL,2023-04-14,2023-04-14,TOYOTA
Subaru XV 2.0i-S EyeSight,73800,13960,2017-12-29,2017,94300,1208,Auto,33484,16309,48011,16309,1995,115,1489,SUV,AVAIL,2023-04-14,2023-04-14,SUBARU
Volkswagen Golf GTI 5DR Sunroof,128800,21640,2018-04-23,2018,65000,1194,Auto,48967,34515,37330,40321,1984,169,1408,Sports Car,AVAIL,2023-03-29,2023-04-15,VOLKSWAGEN
Mazda 3 1.5A Deluxe Sunroof,79176,12056,2018-04-25,2017,103387,682,Auto,32725,18004,38510,18004,1496,88,1331,Mid-Sized Sedan,SOLD,2023-04-13,2023-04-17,MAZDA
Peugeot 2008 Active Puretech 1.2A Sunroof,49777,12350,2016-12-30,2016,84000,508,Auto,23669,18083,49751,8083,1199,81,1140,SUV,AVAIL,2023-04-09,2023-04-09,PEUGEOT
Honda N-Van Turbo Style Fun Honda Sensing,91800,9750,2022-09-14,2022,10943,558,Auto,43574,17400,46288,870,658,78,920,Van,AVAIL,2023-04-10,2023-04-10,HONDA
Honda Civic 1.6A VTi,87800,13910,2018-11-07,2018,72848,742,Auto,31215,20612,28000,20857,1597,92,1249,Mid-Sized Sedan,AVAIL,2023-04-15,2023-04-15,HONDA
Volkswagen Jetta 1.4A TSI (COE till 05/2027),42500,10360,2012-05-25,2012,110923,682,Auto,27738,24297,33793,24297,1390,118,1417,Mid-Sized Sedan,AVAIL,2023-04-14,2023-04-14,VOLKSWAGEN
Mercedes-Benz C-Class C180K (COE till 11/2027),65000,14060,2008-01-04,2007,112000,1461,Auto,23187,36775,50168,40453,1796,115,1485,Luxury Sedan,AVAIL,2023-04-02,2023-04-11,MERCEDES-BENZ
Mercedes-Benz S-Class S400L,149800,34700,2015-07-01,2014,70260,2382,Auto,104431,96954,75000,146518,2996,245,1935,Luxury Sedan,AVAIL,2023-04-03,2023-04-03,MERCEDES-BENZ
Audi A3 Sedan 1.4A TFSI Ambiente,110708,12832,2015-12-28,2015,94321,624,Auto,34371,27642,54301,20699,1395,92,1310,Luxury Sedan,SOLD,2023-03-30,2023-03-31,AUDI
Toyota Previa 2.4A,65777,19080,2015-08-03,2015,111000,1638,Auto,39697,37090,58109,43926,2362,125,1775,MPV,AVAIL,2023-04-16,2023-04-16,TOYOTA
BMW X5 xDrive25d M-Sport,152800,29240,2016-12-27,2016,103947,1806,Auto,75227,65255,50010,89459,1995,170,2040,SUV,AVAIL,2023-04-16,2023-04-16,BMW
Volkswagen Golf 1.2A TSI,26800,17770,2014-08-29,2014,119744,508,Auto,11331,18097,62890,5000,1197,77,1229,Hatchback,AVAIL,2023-04-07,2023-04-07,VOLKSWAGEN
