model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Honda Fit 1.3A G F-Package,72800,11800,2019-03-19,2018,48000,578,Auto,19611,15860,25689,5860,1317,73,1030,Hatchback,AVAIL,2023-04-13,2023-04-13,HONDA
Honda Vezel 1.5A X,54800,15590,2016-06-30,2016,48888,682,Auto,24018,19752,55200,9752,1496,96,1190,SUV,AVAIL,2023-04-14,2023-04-14,HONDA
Volkswagen Polo 1.2A TSI (COE till 04/2026),48167,11729,2011-04-26,2010,78217,610,Auto,16145,16991,21142,16991,1197,77,1126,Hatchback,SOLD,2023-03-28,2023-04-04,VOLKSWAGEN
BMW 5 Series 520d Luxury,122800,24880,2017-03-31,2017,95600,1806,Auto,51770,44181,51000,48854,1995,140,1560,Luxury Sedan,AVAIL,2023-04-12,2023-04-17,BMW
Kia Cerato K3 1.6A Sunroof,67999,11890,2018-05-15,2017,76308,738,Auto,30971,15214,38510,15214,1591,96,1295,Mid-Sized Sedan,AVAIL,2023-04-13,2023-04-17,KIA
Kia Cerato 1.6A SX Sunroof,94800,14390,2019-04-03,2018,54420,738,Auto,29114,17913,26301,17913,1591,94,1287,Mid-Sized Sedan,AVAIL,2023-03-31,2023-03-31,KIA
Ssangyong Tivoli Diesel 1.6A,81500,10960,2019-09-27,2019,88302,1182,Auto,36705,21150,31783,21610,1597,85,1453,SUV,AVAIL,2023-04-17,2023-04-17,SSANGYONG
Audi A4 1.8A TFSI MU,34800,32420,2013-12-13,2013,127000,976,Auto,18331,32243,73010,27141,1798,125,1545,Luxury Sedan,AVAIL,2023-03-28,2023-03-28,AUDI
Kia Optima 2.0A (COE till 04/2031),96800,12040,2011-06-29,2011,151000,1452,Auto,38034,19689,47316,19689,1998,121,1529,Luxury Sedan,AVAIL,2023-04-07,2023-04-07,KIA
Mazda 3 HB 1.5A Deluxe,77918,12179,2018-04-30,2017,97518,682,Auto,32710,17722,38510,17722,1496,88,1329,Hatchback,AVAIL,2023-04-06,2023-04-13,MAZDA
