model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Nissan Note 1.2A DIG-S,54555,12160,7/29/2017,2017,70280,508,Auto,22330,14301,44002,5000,1198,58,1048,Hatchback,AVAIL,NISSAN
Toyota Camry 2.5A,71427,19129,8/25/2016,2016,110156,1792,Auto,34765,29296,56956,33015,2494,133,1475,Luxury Sedan,SOLD,TOYOTA
Opel Zafira Grand Tourer 1.4A Turbo,115865,15791,6/25/2019,2017,42701,606,Auto,41619,24212,34509,25897,1364,103,1538,MPV,SOLD,OPEL
BMW 5 Series 530i,141800,25570,8/10/2017,2017,80000,1210,Auto,65639,53315,50001,62967,1998,185,1615,Luxury Sedan,AVAIL,BMW
Nissan Serena e-POWER Hybrid 1.2A Highway Star Premium,149800,18380,10/1/2020,2020,96000,802,Auto,49552,30937,40989,25312,1198,100,1758,MPV,AVAIL,NISSAN
Hyundai Starex 2.5A CRDi,77262,10684,1/26/2015,2014,42970,757,Auto,41655,20858,55012,1043,2497,90,1800,Van,SOLD,HYUNDAI
Suzuki Jimny Sierra 1.5A JC,127800,14870,7/12/2021,2020,9,662,Auto,45039,24026,45001,10637,1460,75,1090,SUV,AVAIL,SUZUKI
Kia Cerato 1.6A GT Line Sunroof,99548,13717,1/21/2021,2020,58426,738,Auto,37864,17919,40609,17919,1591,94,1287,Mid-Sized Sedan,SOLD,KIA
Honda Vezel 1.5A X,47888,14200,4/28/2016,2015,80000,682,Auto,20638,19721,47300,9721,1496,96,1190,SUV,AVAIL,HONDA
Audi A5 Cabriolet Mild Hybrid 2.0A TFSI S-tronic Advanced,269800,25640,6/9/2022,2021,4918,1194,Auto,137032,54658,92090,70385,1984,140,1730,Sports Car,AVAIL,AUDI
Honda N-Van Turbo Style Fun Honda Sensing,79800,8360,10/31/2022,2022,8799,629,Auto,45022,17542,47181,878,658,84,960,Van,AVAIL,HONDA
Honda Shuttle 1.5A G Honda Sensing,98203,13305,7/23/2021,2021,50261,682,Auto,37111,19569,47010,5000,1496,95,1130,Stationwagon,SOLD,HONDA
Honda Jazz 1.5A RS,62800,13920,5/2/2017,2016,96000,684,Auto,29938,17647,52000,12647,1498,96,1046,Hatchback,SOLD,HONDA
Toyota Estima 2.4A Aeras,80800,22310,3/2/2016,2015,160000,1638,Auto,34386,29545,51000,33363,2362,125,1740,MPV,AVAIL,TOYOTA
BMW 3 Series 318i Shadow Edition,100800,16030,4/27/2018,2017,96337,684,Auto,48995,34502,37330,40303,1499,100,1425,Luxury Sedan,AVAIL,BMW
BMW M Series M6 Cabriolet (New 10-yr COE),239777,23960,3/22/2013,2012,90000,4568,Auto,47395,115584,38906,115584,4395,412,1980,Sports Car,AVAIL,BMW
Nissan Qashqai 1.2A DIG-T,41377,14105,11/17/2015,2015,132077,508,Auto,21793,18413,56001,13413,1197,85,1285,SUV,SOLD,NISSAN
Honda Odyssey 2.4A EXV-S Premium Sunroof,98800,20180,4/27/2017,2016,97000,1630,Auto,46433,30752,54405,35053,2356,129,1855,MPV,AVAIL,HONDA
Mercedes-Benz C-Class C180K Avantgarde (COE till 06/2031),86800,10570,7/1/2011,2011,105000,890,Auto,37148,31019,45272,31019,1597,115,1500,Luxury Sedan,AVAIL,MERCEDES-BENZ
MINI One 1.2A,76800,15910,9/22/2017,2017,37600,508,Auto,24723,21810,36001,12534,1198,75,1120,Hatchback,AVAIL,MINI
Mazda 5 2.0A Sunroof,69440,15503,10/31/2016,2016,92782,1210,Auto,34721,21023,56956,21433,1998,111,1535,MPV,SOLD,MAZDA
Lexus RX270 (COE till 11/2030),98800,13030,11/15/2010,2010,133000,2603,Auto,30334,46012,40014,46012,2672,138,1840,SUV,AVAIL,LEXUS
Toyota Corolla Altis 1.6A Elegance,56348,15701,5/25/2015,2015,106346,742,Auto,30384,19589,68589,14589,1598,90,1205,Mid-Sized Sedan,SOLD,TOYOTA
Honda Jazz 1.5A,88800,12730,8/5/2019,2018,68000,684,Auto,30793,17038,28589,17038,1498,96,1088,Hatchback,AVAIL,HONDA
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,58800,15730,8/12/2016,2016,102794,1144,Auto,26102,25788,53000,13104,1560,88,1359,MPV,AVAIL,CITROEN
Honda Civic 1.8A VTi-S (COE till 11/2027),67787,16740,1/5/2008,2007,110931,1467,Auto,22374,20899,50168,22989,1799,103,1219,Mid-Sized Sedan,SOLD,HONDA
Toyota Corolla Altis 1.6A Elegance (COE till 02/2029),60308,10021,6/23/2009,2009,95840,1039,Auto,17525,17500,25727,17500,1598,80,1195,Mid-Sized Sedan,AVAIL,TOYOTA
Kia Cerato Forte Koup 1.6M SX Sunroof (COE till 12/2024),16800,9830,7/30/2010,2010,132055,959,Manual,5458,13898,15988,13898,1591,93,1207,Sports Car,AVAIL,KIA
Honda Civic 1.5A VTEC Turbo Sunroof,128888,23330,3/12/2018,2017,74244,684,Auto,41008,26392,42322,28949,1498,127,1324,Mid-Sized Sedan,AVAIL,HONDA
Mercedes-Benz C-Class C180 CGI (COE till 06/2030),105091,16110,7/1/2010,2010,150213,1266,Auto,22566,38917,33568,38917,1796,115,1495,Luxury Sedan,SOLD,MERCEDES-BENZ
Land Rover Range Rover Sport Diesel 3.0A (COE till 02/2032),165800,18680,8/10/2012,2012,150000,3734,Auto,71509,85621,80583,85621,2993,180,2513,SUV,AVAIL,LAND-ROVER
BMW X1 sDrive18i xLine,135555,17440,10/23/2019,2019,38000,684,Auto,59709,36905,41361,43667,1499,103,1430,SUV,AVAIL,BMW
BMW X1 sDrive18i,155738,21271,9/13/2019,2019,49327,684,Auto,56856,36901,37912,43662,1499,103,1430,SUV,SOLD,BMW
Porsche 718 Cayman 2.0A PDK,220888,46350,1/5/2017,2016,56000,1200,Auto,82659,69362,53001,96852,1988,220,1365,Sports Car,AVAIL,PORSCHE
Toyota Wish 1.8A (COE till 03/2029),72800,12300,3/18/2009,2009,114835,1458,Auto,19539,18662,33018,18662,1794,97,1310,MPV,AVAIL,TOYOTA
Nissan Navara Double-Cab 2.5A (COE till 02/2028),69800,14320,3/27/2013,2012,36000,1194,Auto,38339,24844,39352,24844,2488,117,1880,Truck,AVAIL,NISSAN
Audi A4 1.4A TFSI S-tronic,86991,17616,3/23/2016,2016,114614,624,Auto,35720,32076,47604,26907,1395,110,1450,Luxury Sedan,SOLD,AUDI
BMW 1 Series 135i Coupe (COE till 05/2031),106027,17593,6/21/2011,2011,126910,2834,Auto,37473,44494,49716,44494,2979,225,1470,Sports Car,AVAIL,BMW
Kia Cerato Forte 1.6A SX (COE till 06/2026),36800,11480,7/25/2011,2010,170000,886,Auto,14499,12951,22636,12951,1591,93,1251,Mid-Sized Sedan,AVAIL,KIA
Subaru XV 2.0i-S EyeSight,78800,13590,6/19/2018,2017,61814,1208,Auto,31330,16945,36000,16945,1995,115,1489,SUV,AVAIL,SUBARU
Volkswagen Golf GTI 5DR (COE till 09/2030),102800,13780,12/1/2010,2010,123000,1552,Auto,26053,32436,34935,32436,1984,155,1339,Sports Car,AVAIL,VOLKSWAGEN
Mazda CX-30 2.0A Elegance,61197,14700,4/30/2021,2021,96867,1210,Auto,29387,20142,52200,20199,1998,121,1441,SUV,SOLD,MAZDA
Kia Niro Hybrid 1.6A SX Sunroof,152500,16170,2/25/2022,2021,10000,732,Auto,67678,29611,60761,18456,1580,97,1425,SUV,AVAIL,KIA
Mercedes-Benz GLA-Class GLA180,81800,18440,1/5/2017,2016,101000,744,Auto,36316,28150,51507,26410,1600,90,1435,SUV,AVAIL,MERCEDES-BENZ
BMW 2 Series 216d Gran Tourer,75616,17194,3/30/2017,2016,94382,1082,Auto,35464,31478,51765,26070,1496,85,1480,MPV,SOLD,BMW
Porsche 911 Targa 4S PDK (COE till 12/2030),585888,76430,12/8/2020,2017,4950,2364,Auto,29660,103984,38802,159172,2981,309,1600,Sports Car,AVAIL,PORSCHE
BMW 3 Series 316i M-Sport (New 10-yr COE),109630,14837,4/2/2013,2012,106818,742,Auto,43193,33334,46924,28668,1598,100,1405,Luxury Sedan,SOLD,BMW
Honda Vezel 1.5A X,54275,14405,9/8/2016,2015,88001,682,Auto,23784,19404,52503,9404,1496,96,1190,SUV,SOLD,HONDA
Mercedes-Benz CLA-Class CLA180 AMG Line,100800,17580,4/27/2018,2017,45000,740,Auto,37083,30550,36810,24770,1595,90,1430,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Yaris Cross Hybrid 1.5A Excite,91557,14449,4/22/2021,2021,54744,680,Auto,35409,26008,42000,13412,1490,82,1190,SUV,SOLD,TOYOTA
BMW X3 xDrive30i M-Sport,232000,25700,11/25/2020,2020,28241,1210,Auto,85236,55983,40301,72770,1998,185,1745,SUV,AVAIL,BMW
Mercedes-Benz GLE-Class GLE53 Coupe Mild Hybrid AMG 4MATIC+ Premium Plus,412800,42680,2/5/2021,2020,21788,2384,Auto,158426,103941,50100,159094,2999,336,2325,SUV,AVAIL,MERCEDES-BENZ
Land Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic SE,263800,25960,6/16/2022,2021,10200,1210,Auto,117358,42470,99010,51458,1997,147,1845,SUV,AVAIL,LAND-ROVER
Hyundai Elantra 1.6A GLS S,73800,12370,10/24/2018,2018,55000,738,Auto,22311,10937,25556,10937,1591,94,1345,Mid-Sized Sedan,AVAIL,HYUNDAI
Mitsubishi Evolution 10 GSR (COE till 05/2028),170800,33410,5/27/2008,2008,107636,1815,Manual,19780,32650,38712,32650,1998,206,1520,Sports Car,AVAIL,MITSUBISHI
Jaguar E-PACE 2.0A S (200ps),162888,19630,9/29/2020,2019,24000,1210,Auto,55203,29378,40790,33130,1997,147,1757,SUV,AVAIL,JAGUAR
Toyota Sienta 1.5A X Limited (COE till 12/2028),60602,10788,12/31/2008,2008,115126,1023,Auto,20712,14493,27571,14493,1496,81,1210,MPV,SOLD,TOYOTA
Mercedes-Benz GLA-Class GLA180 Urban Edition,124800,16490,1/9/2020,2019,49000,740,Auto,42883,25393,33009,27551,1595,90,1435,SUV,AVAIL,MERCEDES-BENZ
BMW 3 Series 335i Coupe (COE till 01/2029),92300,14067,1/16/2009,2007,148558,3543,Auto,21053,56763,31335,56763,2979,225,1560,Sports Car,SOLD,BMW
Nissan NV200 1.6A,27800,11240,10/7/2015,2015,179000,531,Auto,5882,15178,23802,759,1597,67,1240,Van,AVAIL,NISSAN
Porsche 911 Carrera 4 GTS 3.0A PDK,573481,63638,4/27/2018,2018,20709,2364,Auto,208701,149882,37010,241788,2981,331,1515,Sports Car,SOLD,PORSCHE
Toyota Corolla Hatchback Hybrid 1.8A Ascent Sport,150779,15536,4/27/2022,2019,6826,976,Auto,89171,26543,90002,14161,1798,90,1360,Hatchback,SOLD,TOYOTA
Honda Fit 1.3A Honda Sensing,61316,11860,7/15/2021,2021,63959,578,Auto,27598,15704,47821,5000,1317,72,1070,Hatchback,SOLD,HONDA
Mazda CX-9 2.5A Turbo Luxury,151800,21220,6/28/2019,2019,58988,1786,Auto,56716,34653,47000,40515,2488,170,1916,SUV,AVAIL,MAZDA
Volkswagen Golf 1.4A TSI,119830,12560,9/13/2013,2013,1431,624,Auto,72914,20925,75556,6295,1395,90,1249,Hatchback,SOLD,VOLKSWAGEN
Toyota Fortuner 2.7A (COE till 05/2026),46800,14980,11/1/2006,2006,167926,3042,Auto,14369,28122,46048,30935,2694,118,1815,SUV,AVAIL,TOYOTA
BMW 3 Series 335i Convertible (COE till 12/2028),83800,14770,12/18/2008,2008,118000,3543,Auto,17894,66634,31553,66634,2979,225,1825,Sports Car,AVAIL,BMW
Audi A6 1.8A TFSI S-tronic,56800,18550,4/30/2015,2015,147248,976,Auto,38685,40069,79500,38097,1798,140,1645,Luxury Sedan,AVAIL,AUDI
BMW 6 Series 640i Coupe Sunroof (COE till 07/2031),139800,16860,3/2/2012,2011,110000,2834,Auto,48047,77746,57955,77746,2979,235,1660,Sports Car,AVAIL,BMW
Volkswagen Golf 1.4A TSI EQP Sunroof (New 10-yr COE),35800,3580,11/26/2014,2014,118000,624,Auto,18581,22706,64628,8789,1395,90,1249,Hatchback,AVAIL,VOLKSWAGEN
Honda Civic 2.0A (COE till 08/2028),66600,12380,10/22/2008,2008,210000,1815,Auto,18809,24243,34991,24243,1998,114,1312,Mid-Sized Sedan,AVAIL,HONDA
Toyota FJ Cruiser,119800,66080,10/16/2014,2014,74242,3880,Auto,33581,35385,72003,41539,3955,203,1950,SUV,AVAIL,TOYOTA
BMW 1 Series 116i M-Sport,137761,18935,9/30/2022,2022,22930,684,Auto,81651,33280,84000,38592,1499,80,1340,Hatchback,SOLD,BMW
BMW 5 Series 520i Highline,58291,28590,6/26/2015,2014,122241,1210,Auto,33786,39215,78001,41901,1997,135,1615,Luxury Sedan,SOLD,BMW
Toyota Estima 2.4A Aeras Premium Moonroof,109369,21430,5/6/2015,2015,62530,1638,Auto,60911,30277,78001,34388,2362,125,1790,MPV,SOLD,TOYOTA
Citroen C3 Aircross 1.2A PureTech Shine,78283,13494,4/5/2018,2017,86959,508,Auto,32124,19898,38830,19898,1199,81,1203,SUV,SOLD,CITROEN
BMW 7 Series 730Li Sunroof,205800,28200,5/23/2018,2018,73500,1210,Auto,112557,84390,38501,123902,1998,190,1720,Luxury Sedan,AVAIL,BMW
Audi A5 Sportback 1.8A TFSI MU,72888,17590,12/17/2015,2015,96580,976,Auto,47131,42781,60001,51894,1798,125,1600,Sports Car,AVAIL,AUDI
Porsche Macan 2.0A PDK,269800,34050,11/22/2019,2019,92000,1194,Auto,93641,65510,39700,89918,1984,185,1795,SUV,AVAIL,PORSCHE
Volkswagen Jetta GP 1.4A TSI Highline,92031,14783,5/11/2016,2015,101677,620,Auto,36556,20867,47889,21214,1390,90,1417,Mid-Sized Sedan,SOLD,VOLKSWAGEN
Honda Civic 1.6A VTi,90000,14350,11/1/2018,2018,75000,742,Auto,31415,20612,28457,20857,1597,92,1249,Mid-Sized Sedan,AVAIL,HONDA
Mercedes-Benz GLC-Class GLC300 Coupe Mild Hybrid AMG Line Premium Plus,272800,27020,10/8/2021,2021,34000,1202,Auto,123464,64118,68310,87413,1991,200,1825,SUV,AVAIL,MERCEDES-BENZ
Ferrari 458 Italia (COE till 07/2032),598800,64420,5/23/2013,2013,39888,4728,Auto,90307,357888,97176,357888,4497,416,1515,Sports Car,AVAIL,FERRARI
Mercedes-Benz E-Class E250 CGI Avantgarde (COE till 12/2029),83000,12370,1/28/2010,2009,143000,1364,Auto,26377,55060,39313,55060,1796,150,1650,Luxury Sedan,AVAIL,MERCEDES-BENZ
Mercedes-Benz A-Class A180 SE,119700,16970,6/28/2019,2018,50000,586,Auto,46116,26411,41000,28976,1332,100,1365,Hatchback,AVAIL,MERCEDES-BENZ
Citroen C5 Aircross 1.6A PureTech EAT8 Shine,86696,16948,1/13/2021,2020,82987,742,Auto,38627,26127,49300,28578,1598,133,1430,SUV,SOLD,CITROEN
BMW 2 Series 216i Active Tourer,136800,14570,6/15/2021,2021,25000,684,Auto,66320,31169,48510,35637,1499,80,1380,Hatchback,AVAIL,BMW
Volkswagen Tiguan 1.4A TSI Comfortline EQP Panoramic Roof,116764,17325,12/31/2018,2018,44038,624,Auto,44374,31231,30851,35724,1395,110,1498,SUV,SOLD,VOLKSWAGEN
Subaru WRX STI 2.5M,178888,28330,12/5/2018,2018,67000,1750,Manual,46371,33076,31302,38307,2457,221,1617,Sports Car,AVAIL,SUBARU
BMW 2 Series 218i Active Tourer,39800,16230,1/30/2015,2014,138000,684,Auto,25245,28242,75200,21539,1499,100,1360,Hatchback,AVAIL,BMW
Porsche Cayenne Coupe E-Hybrid 3.0A Tip,558888,59820,2/3/2021,2020,88,2380,Auto,173384,117943,51900,184298,2995,340,2435,SUV,AVAIL,PORSCHE
Toyota Corolla Hatchback Hybrid 1.8A Ascent Sport,150779,15536,4/27/2022,2019,6826,976,Auto,89171,26543,90002,14161,1798,90,1360,Hatchback,AVAIL,TOYOTA
Bentley Flying Spur 4.0A V8,299000,93280,11/8/2014,2014,82200,3940,Auto,180008,185927,74403,306669,3993,373,2417,Luxury Sedan,AVAIL,BENTLEY
Mercedes-Benz E-Class E300 Coupe AMG Line,168800,27940,9/28/2017,2017,62698,1202,Auto,84097,65007,49000,89013,1991,180,1685,Sports Car,AVAIL,MERCEDES-BENZ
Toyota Harrier 2.0A Elegance,64800,19440,1/4/2016,2015,88000,1196,Auto,30147,26381,58801,23934,1986,111,1580,SUV,AVAIL,TOYOTA
Mercedes-Benz C-Class C180 Avantgarde,156668,20992,11/22/2019,2019,36679,740,Auto,58330,38805,37000,46327,1595,115,1490,Luxury Sedan,SOLD,MERCEDES-BENZ
Hyundai Accent 1.4A,78534,11091,8/12/2020,2019,28284,608,Auto,27515,9218,32699,9218,1368,74,1115,Mid-Sized Sedan,SOLD,HYUNDAI
Kia Cerato 1.6A SX Sunroof,91800,14340,1/23/2019,2018,76084,738,Auto,27165,18089,23568,18089,1591,94,1287,Mid-Sized Sedan,AVAIL,KIA
Volkswagen Golf 1.4A TSI,40800,19970,3/18/2015,2014,106290,624,Auto,13704,19224,57199,5000,1395,90,1249,Hatchback,AVAIL,VOLKSWAGEN
Hyundai Kona Hybrid 1.6A DCT,126900,14670,6/24/2021,2021,17000,732,Auto,49910,26141,48510,13598,1580,97,1376,SUV,AVAIL,HYUNDAI
BMW 7 Series 740Li,230672,28254,5/9/2013,2013,72008,2362,Auto,90931,72102,66989,101784,2979,235,1920,Luxury Sedan,SOLD,BMW
Hyundai Ioniq Hybrid 1.6A DCT Sunroof,84326,14605,6/23/2021,2021,37419,732,Auto,41178,27449,48510,15429,1580,97,1361,Hatchback,SOLD,HYUNDAI
Suzuki Swift Sport 1.6A (COE till 02/2025),27319,14027,2/9/2010,2009,148595,1030,Auto,6453,16242,16519,16242,1586,92,1100,Hatchback,SOLD,SUZUKI
Volkswagen Tiguan 2.0A TSI (COE till 12/2030),86800,11250,1/28/2011,2010,140282,1552,Auto,31389,25983,40714,25983,1984,125,1648,SUV,AVAIL,VOLKSWAGEN
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,153000,16990,10/26/2021,2021,35662,778,Auto,64133,27974,61001,16164,1496,174,1350,SUV,AVAIL,HONDA
Toyota Alphard 2.5A S C-Package,239400,34290,5/15/2019,2018,66800,1792,Auto,75569,49899,48010,61859,2493,134,2030,MPV,AVAIL,TOYOTA
Mercedes-Benz S-Class S400L,118800,32110,9/16/2014,2014,74000,2382,Auto,90357,97016,68689,146629,2996,245,1935,Luxury Sedan,AVAIL,MERCEDES-BENZ
Bentley Continental GT 4.0A V8 (New 10-yr COE),298800,30000,5/31/2013,2013,46500,3940,Auto,106477,197497,106916,197497,3993,373,2295,Sports Car,SOLD,BENTLEY
SEAT Ibiza 1.0A EcoTSI DSG Style,109955,11980,9/30/2021,2019,10300,392,Auto,53524,17255,48000,17255,999,85,1164,Hatchback,AVAIL,SEAT
SEAT Toledo 1.4A TSI DSG Style,85800,11140,7/30/2020,2019,42000,624,Auto,30763,19256,32699,9256,1395,92,1227,Mid-Sized Sedan,AVAIL,SEAT
Honda Civic 1.6A VTi,72800,15190,5/29/2017,2017,102000,742,Auto,35412,20403,51106,20565,1597,92,1249,Mid-Sized Sedan,AVAIL,HONDA
Toyota Vellfire 2.4A Z Platinum Selection (COE till 09/2031),139800,16520,1/20/2012,2011,138000,1966,Auto,49159,48355,58124,48355,2362,125,1930,MPV,AVAIL,TOYOTA
Volvo S60 T5,86888,14820,2/27/2018,2017,62010,1176,Auto,41392,26813,44000,29539,1969,180,1557,Luxury Sedan,AVAIL,VOLVO
Mercedes-Benz AMG GT S,637500,73610,2/13/2020,2019,13000,3922,Auto,227429,165254,37109,269458,3982,384,1665,Sports Car,AVAIL,MERCEDES-BENZ
Mazda 8 2.3A Sunroof,79754,18467,6/20/2014,2014,72907,1520,Auto,43812,24431,67304,26204,2261,120,1780,MPV,SOLD,MAZDA
Toyota Corolla Altis 1.6A (COE till 02/2024),13800,16140,2/24/2009,2008,179265,1113,Auto,2192,16084,12864,16084,1598,80,1195,Mid-Sized Sedan,AVAIL,TOYOTA
Mitsubishi ASX 2.0A,71800,12890,3/12/2018,2017,120576,1210,Auto,31132,17167,39000,17167,1998,110,1365,SUV,AVAIL,MITSUBISHI
Toyota Alphard Hybrid 2.5A SR C-Package Moonroof,329988,30330,2/1/2023,2022,22,1306,Auto,160732,51970,113881,65546,2493,145,1653,MPV,AVAIL,TOYOTA
Mercedes-Benz GLC-Class GLC200,160800,22360,4/30/2019,2019,63000,1202,Auto,62466,42557,39401,51580,1991,135,1705,SUV,AVAIL,MERCEDES-BENZ
Mercedes-Benz B-Class B180 Style,129800,16940,12/17/2019,2019,56000,586,Auto,49834,29676,37000,33547,1332,100,1405,Hatchback,AVAIL,MERCEDES-BENZ
Audi A3 Sportback 1.0A TFSI S-tronic,99800,14370,5/27/2019,2019,56000,392,Auto,34464,22826,27000,23957,999,85,1275,Hatchback,AVAIL,AUDI
Honda Stream 1.8A X (COE till 01/2024),16151,15743,1/12/2009,2008,162241,1467,Auto,2465,20383,15668,20383,1799,103,1350,MPV,SOLD,HONDA
Mazda 5 2.0A Sunroof,52138,17001,12/30/2015,2015,99455,1210,Auto,25645,18062,58801,18062,1998,111,1535,MPV,SOLD,MAZDA
Volvo V40 Cross Country Diesel D2 Moonroof,28800,18800,4/16/2014,2014,33900,1144,Auto,17752,30791,77400,20108,1560,84,1448,Hatchback,AVAIL,VOLVO
Toyota Wish 1.8A X Limited (COE till 04/2027),51800,12920,4/20/2007,2007,130400,1458,Auto,20832,18908,52008,20799,1794,97,1300,MPV,AVAIL,TOYOTA
Mitsubishi Attrage 1.2A Sports (OPC),69800,9270,7/20/2020,2019,20100,70,Auto,15739,14270,16520,5000,1193,59,940,Mid-Sized Sedan,AVAIL,MITSUBISHI
Kia Cerato 1.6A LX,92800,12500,3/25/2020,2019,14000,738,Auto,33328,12056,35010,12056,1591,94,1287,Mid-Sized Sedan,AVAIL,KIA
Subaru Forester 2.0i-L Sunroof,88800,14680,11/19/2018,2018,46000,1208,Auto,28109,13395,32302,13395,1995,110,1591,SUV,AVAIL,SUBARU
Mercedes-Benz E-Class E220d Sport,215800,22860,6/24/2021,2020,28000,1734,Auto,92085,46550,60109,57170,1950,143,1750,Luxury Sedan,AVAIL,MERCEDES-BENZ
Mercedes-Benz GLA-Class GLA200 AMG Line Premium Plus,146800,20030,8/16/2019,2018,53000,740,Auto,55195,34160,40001,39824,1595,115,1435,SUV,AVAIL,MERCEDES-BENZ
BMW 5 Series 535i Gran Turismo (COE till 04/2031),164318,19841,9/26/2011,2011,99110,2834,Auto,47292,65644,47316,65644,2979,225,1940,Luxury Sedan,SOLD,BMW
Porsche 911 Carrera S Coupe 3.8A PDK (New 10-yr COE),418000,41770,10/18/2012,2012,46800,4002,Auto,148405,149577,74671,149577,3800,294,1490,Sports Car,AVAIL,PORSCHE
Hyundai Avante 1.6A (COE till 12/2024),19956,10981,1/6/2010,2009,142370,1033,Auto,5818,11340,15988,11340,1591,90,1264,Mid-Sized Sedan,SOLD,HYUNDAI
BMW 2 Series 216i Gran Tourer Luxury,101481,16409,5/31/2018,2018,72721,684,Auto,45790,32596,38039,37635,1499,75,1480,MPV,SOLD,BMW
Toyota Vios 1.5A E (COE till 12/2029),81081,12546,1/18/2010,2009,64705,958,Auto,26878,12717,31976,12717,1497,80,1095,Mid-Sized Sedan,SOLD,TOYOTA
Honda Vezel 1.5A X,40532,15008,3/8/2016,2015,82055,682,Auto,17860,20930,58700,11302,1496,96,1190,SUV,SOLD,HONDA
Nissan Sylphy 1.5A (COE till 08/2030),78800,10680,9/30/2010,2010,126289,889,Auto,23741,18378,32190,18378,1498,80,1175,Mid-Sized Sedan,AVAIL,NISSAN
Mitsubishi Fuso Fighter FM65,81000,25270,7/1/2016,2016,186446,934,Auto,15374,62155,48002,3108,7545,96,6920,Truck,AVAIL,MITSUBISHI
Volkswagen Golf 1.4A TSI (COE till 10/2024),20423,14028,10/19/2009,2009,165513,868,Auto,3868,21853,15287,21853,1390,90,1241,Hatchback,SOLD,VOLKSWAGEN
Ferrari F12berlinetta 6.3A,698000,138410,5/28/2013,2013,35000,7488,Auto,224554,447155,91910,447155,6262,541,1716,Sports Car,AVAIL,FERRARI
Audi A5 Sportback 2.0A TFSI S-tronic Design,153233,21459,2/28/2019,2018,47099,1194,Auto,56082,38186,36667,45461,1984,140,1535,Luxury Sedan,SOLD,AUDI
Toyota Camry Hybrid 2.5A Ascent Sport,107252,16698,2/3/2021,2020,66798,1784,Auto,43890,32327,49300,22258,2487,160,1570,Luxury Sedan,SOLD,TOYOTA
Toyota Harrier 2.0A Premium Panoramic Roof,61293,18657,10/8/2015,2015,99272,1196,Auto,31777,28919,61010,27487,1986,111,1610,SUV,SOLD,TOYOTA
BYD e6 Electric,121988,14010,10/25/2021,2021,69000,1326,Auto,43810,24000,47001,5000,1621,70,1930,Hatchback,AVAIL,BYD
Mercedes-Benz A-Class A180 Style,115800,17200,3/13/2019,2018,32340,586,Auto,39579,25977,31001,28368,1332,100,1365,Hatchback,AVAIL,MERCEDES-BENZ
Honda Civic 1.6A VTi,62800,15560,9/14/2016,2016,68877,742,Auto,30722,19474,53000,19474,1597,92,1249,Mid-Sized Sedan,AVAIL,HONDA
Toyota Camry 2.4A (COE till 03/2025),23972,13559,3/22/2010,2010,159617,2293,Auto,6445,28375,17708,28375,2362,123,1540,Luxury Sedan,SOLD,TOYOTA
Honda Civic 1.6A VTi (COE till 08/2025),29822,12990,8/3/2010,2009,171000,962,Auto,7382,22950,16095,22950,1595,92,1220,Mid-Sized Sedan,AVAIL,HONDA
Subaru Impreza WRX 2.5M STI (COE till 03/2029),125555,21070,6/30/2009,2008,161866,2450,Manual,19666,37475,33018,37475,2457,221,1505,Sports Car,AVAIL,SUBARU
Honda Jazz 1.5A RS (OPC),62614,12595,1/11/2016,2015,74626,184,Auto,26466,15417,42200,10417,1498,96,1046,Hatchback,AVAIL,HONDA
BMW X1 sDrive20i M-Sport,162844,22142,8/20/2020,2020,64583,1210,Auto,62871,42149,38802,51009,1998,141,1485,SUV,SOLD,BMW
BMW 4 Series 428i Coupe Sport (New 10-yr COE),159888,15980,10/3/2013,2013,147535,1210,Auto,53147,49587,64736,56422,1997,180,1470,Sports Car,AVAIL,BMW
Honda N-Van Turbo Style Fun Honda Sensing,79800,8360,10/31/2022,2022,7964,664,Auto,48034,16686,50337,835,658,71,960,Van,AVAIL,HONDA
BMW X3 Mild Hybrid xDrive20i M-Sport,297908,30272,10/12/2022,2022,13449,1210,Auto,140863,49345,113299,61083,1998,138,1800,SUV,SOLD,BMW
Lamborghini Gallardo LP550-2 (COE till 09/2030),310000,41550,10/23/2010,2010,30000,7584,Auto,26053,200962,34935,200962,5204,405,1500,Sports Car,AVAIL,LAMBORGHINI
Toyota Corolla Altis 1.6A Elegance,41580,18168,7/25/2014,2014,110281,742,Auto,19911,18761,61990,13761,1598,90,1205,Mid-Sized Sedan,SOLD,TOYOTA
Maserati GranTurismo S 4.7A (COE till 03/2031),240000,30320,3/16/2011,2010,61000,6539,Auto,37743,113249,47701,113249,4691,323,1955,Sports Car,AVAIL,MASERATI
BMW 4 Series 420i Gran Coupe,180542,25068,5/29/2019,2019,29473,1210,Auto,68343,46386,42564,56941,1998,135,1540,Luxury Sedan,SOLD,BMW
Mercedes-Benz B-Class B200 Chrome (New 5-yr COE),72800,14540,10/25/2013,2013,89000,740,Auto,32796,25714,70141,18000,1595,115,1425,Hatchback,AVAIL,MERCEDES-BENZ
