model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Audi A5 Sportback Mild Hybrid 2.0A TFSI S-tronic,122710,22954,4/27/2021,2020,74221,1194,Auto,57951,39125,61190,46775,1984,110,1565,Luxury Sedan,AVAIL,AUDI
Mercedes-Benz SLK-Class SLK200 (COE till 06/2032),125000,13570,7/31/2012,2011,87000,1071,Auto,87501,56966,95025,56966,1796,135,1470,Sports Car,AVAIL,MERCEDES-BENZ
Honda Stream 1.8A (COE till 12/2024),26279,16618,12/30/2009,2008,148744,1369,Auto,5993,25100,19657,25100,1799,103,1370,MPV,SOLD,HONDA
Mitsubishi Lancer EX 1.5A GLS (COE till 06/2023),9800,16618,6/18/2008,2008,160409,1026,Auto,628,16230,19107,16230,1499,80,1313,Mid-Sized Sedan,AVAIL,MITSUBISHI
Honda Shuttle 1.5A G,57800,14240,1/13/2017,2016,65000,682,Auto,24571,18977,50101,8977,1496,97,1130,Stationwagon,AVAIL,HONDA
Mercedes-Benz E-Class E300 Exclusive,172800,23090,9/19/2018,2018,150845,1202,Auto,88054,68324,31000,94984,1991,180,1655,Luxury Sedan,AVAIL,MERCEDES-BENZ
Mercedes-Benz C-Class C180K (COE till 03/2032),93820,10480,3/28/2012,2012,153000,816,Auto,52953,30328,59179,30328,1597,115,1500,Luxury Sedan,AVAIL,MERCEDES-BENZ
BMW X6 xDrive35i Sunroof (COE till 04/2031),138800,17260,11/2/2011,2011,121000,2834,Auto,38034,69038,47316,69038,2979,225,2145,SUV,AVAIL,BMW
Toyota Harrier 2.0A Premium,77888,18390,8/24/2016,2016,131003,1196,Auto,40467,32435,57903,32409,1986,111,1610,SUV,AVAIL,TOYOTA
Toyota Harrier 2.0A Premium Panoramic Roof,87800,18650,1/25/2017,2016,70000,1196,Auto,40057,34139,46229,34795,1986,111,1610,SUV,AVAIL,TOYOTA
BMW iX Electric xDrive40,383800,34150,11/30/2022,2022,1500,5588,Auto,173854,93170,116577,109974,3229,390,2365,SUV,AVAIL,BMW
Chevrolet Cruze 1.6A (COE till 03/2029),71252,11494,12/22/2009,2009,58445,1039,Auto,21933,12527,25525,12527,1598,80,1388,Mid-Sized Sedan,AVAIL,CHEVROLET
Mercedes-Benz C-Class C200 Cabriolet,135800,26950,1/17/2017,2016,96200,1202,Auto,64967,54058,53106,69305,1991,135,1665,Sports Car,AVAIL,MERCEDES-BENZ
