model,price,depreciation,registration_date,reg_age,manufactured_year,manufactured_age,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
BMW 2 Series 218i Coupe M-Sport Sunroof,137000,20440,31-12-18,5.00,2018,5.00,17192,684,Auto,48071,34693,30959,40571,1499,100,1365,Sports Car,AVAIL,12-04-23,12-04-23,BMW
Audi A4 1.8A TFSI MU Attraction,56800,17870,12-08-15,8.00,2015,8.00,106413,976,Auto,32491,31192,60789,30669,1798,125,1545,Luxury Sedan,AVAIL,11-04-23,14-04-23,AUDI
Chevrolet Orlando 1.4A Turbo,66500,13370,31-08-17,6.00,2016,7.00,75000,604,Auto,34276,16040,52751,16040,1362,103,1650,MPV,AVAIL,03-04-23,13-04-23,CHEVROLET
Tesla Model 3 Electric Performance AWD,237942,24409,29-11-21,2.00,2021,2.00,29868,5384,Auto,106855,71021,79601,54838,2487,377,1844,Luxury Sedan,SOLD,02-04-23,07-04-23,TESLA
Jeep Compass Limited 1.4A,112800,15160,18-06-19,4.00,2018,5.00,46000,608,Auto,53342,33161,39728,38426,1368,125,1683,SUV,AVAIL,16-04-23,16-04-23,JEEP
Toyota Hilux Double-Cab,57800,32360,29-01-15,8.00,2014,9.00,115005,839,Manual,4237,24426,23754,26197,2494,91,1700,Truck,AVAIL,06-04-23,10-04-23,TOYOTA
Honda N-WGN G Turbo,89888,14580,28-12-18,5.00,2016,7.00,76509,326,Auto,28776,13575,32809,13575,658,47,840,Hatchback,AVAIL,12-04-23,13-04-23,HONDA
BMW M135i 3DR (New 10-yr COE),150000,14990,28-03-13,10.00,2012,11.00,81688,2362,Auto,53995,39262,54752,46967,2979,235,1440,Sports Car,AVAIL,27-03-23,27-03-23,BMW
Honda Civic Hybrid 1.3A (COE till 06/2030),69888,9800,02-06-10,13.00,2008,15.00,117693,767,Auto,23427,33922,32875,20354,1339,70,1290,Mid-Sized Sedan,AVAIL,08-04-23,17-04-23,HONDA
Mitsubishi Lancer 1.6M GLX (COE till 01/2024),9999,13370,16-01-09,14.00,2008,15.00,169480,1101,Manual,1941,12837,13024,12837,1584,79,1162,Mid-Sized Sedan,AVAIL,07-04-23,14-04-23,MITSUBISHI
MINI Cooper S 1.6M (COE till 10/2029),138888,21240,30-10-09,14.00,2009,14.00,158196,1039,Manual,19986,32025,30574,32025,1598,128,1130,Sports Car,AVAIL,26-03-23,11-04-23,MINI
Honda Vezel 1.5A X,64697,14881,22-10-15,8.00,2015,8.00,88003,682,Auto,25894,18676,56001,8676,1496,96,1190,SUV,SOLD,08-04-23,12-04-23,HONDA
Lexus RX270,53800,23362,29-06-13,10.00,2013,10.00,91000,2002,Auto,31293,48555,66989,59977,2672,138,1840,SUV,AVAIL,09-04-23,10-04-23,LEXUS
Toyota Wish 2.0A (COE till 01/2025),25379,15084,11-01-10,13.00,2009,14.00,146408,1677,Auto,7666,22003,19732,22003,1987,106,1380,MPV,SOLD,24-03-23,27-03-23,TOYOTA
Honda Vezel 1.5A X,46305,15038,25-02-15,8.00,2014,9.00,106110,682,Auto,22963,18836,57199,8836,1496,96,1190,SUV,SOLD,12-04-23,16-04-23,HONDA
Mercedes-Benz A-Class A200 AMG Line,113602,17031,21-03-19,4.00,2018,5.00,52215,586,Auto,45505,32137,32200,36992,1332,120,1375,Hatchback,SOLD,03-04-23,13-04-23,MERCEDES-BENZ
BMW 3 Series ActiveHybrid 3 M-Sport (COE till 11/2032),183800,19090,14-12-12,11.00,2012,11.00,139000,2598,Auto,103670,59711,107652,35827,2979,250,1655,Luxury Sedan,AVAIL,14-04-23,14-04-23,BMW
