model,price,depreciation,registration_date,reg_age,manufactured_year,manufactured_age,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Citroen Berlingo L2 1.6A BlueHDi,42800,8750,08-03-18,5.00,2017,6.00,91035,638,Auto,18732,21245,38303,1063,1560,84,1460,Van,AVAIL,12-04-23,12-04-23,CITROEN
Volvo XC60 T5 Momentum,142800,23620,18-05-18,5.00,2018,5.00,58000,1176,Auto,53551,38070,38501,45298,1969,187,1841,SUV,AVAIL,06-04-23,06-04-23,VOLVO
Toyota MRS 1.8A V-Edition (COE till 10/2027),70800,15730,17-10-07,16.00,2007,16.00,101000,1458,Auto,22696,22383,50451,24622,1794,103,1020,Sports Car,AVAIL,03-04-23,17-04-23,TOYOTA
Toyota C-HR Hybrid 1.8A S,74800,15940,30-10-17,6.00,2017,6.00,58264,974,Auto,25314,28465,48109,5000,1797,90,1440,SUV,AVAIL,06-04-23,06-04-23,TOYOTA
Mercedes-Benz E-Class E250,58888,22690,12-11-14,9.00,2014,9.00,75104,1202,Auto,36687,46018,71300,46426,1991,155,1680,Luxury Sedan,AVAIL,13-04-23,13-04-23,MERCEDES-BENZ
MINI Cooper 1.6A,33900,32660,31-12-13,10.00,2013,10.00,83900,742,Auto,16096,24865,74002,21811,1598,90,1105,Hatchback,AVAIL,10-04-23,10-04-23,MINI
Volkswagen Golf 1.4A TSI,44400,16300,25-09-15,8.00,2014,9.00,129000,624,Auto,19482,19244,57089,9244,1395,90,1249,Hatchback,AVAIL,15-04-23,15-04-23,VOLKSWAGEN
BMW 2 Series 216i Gran Tourer Luxury,129800,17460,30-07-19,4.00,2019,4.00,23000,684,Auto,46812,34328,26667,40060,1499,80,1490,MPV,AVAIL,14-04-23,15-04-23,BMW
Mercedes-Benz GLC-Class GLC200,208268,23726,17-06-21,2.00,2021,2.00,23035,1202,Auto,80866,45367,58089,55514,1991,145,1730,SUV,SOLD,29-03-23,06-04-23,MERCEDES-BENZ
Jaguar E-PACE 2.0A Prestige (249PS),139800,21200,05-11-18,5.00,2018,5.00,26330,1210,Auto,50390,37152,32900,44013,1997,183,1867,SUV,AVAIL,14-04-23,14-04-23,JAGUAR
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,250000,24690,21-06-22,1.00,2022,1.00,12000,682,Auto,117558,38956,90002,46539,1496,140,1550,Luxury Sedan,AVAIL,15-04-23,17-04-23,MERCEDES-BENZ
Nissan Serena e-POWER Hybrid 1.2A Highway Star Premium,186800,19140,21-07-22,1.00,2021,2.00,12000,802,Auto,97013,29964,104400,18950,1198,100,1758,MPV,AVAIL,12-04-23,17-04-23,NISSAN
Honda Civic Type R 2.0M 3DR (COE till 11/2028),93888,16760,22-11-08,15.00,2008,15.00,142985,1815,Auto,17988,32045,32121,32045,1998,148,1345,Sports Car,AVAIL,04-04-23,15-04-23,HONDA
BMW M135i xDrive,218800,25890,06-08-20,3.00,2019,4.00,36750,1210,Auto,71509,47999,37102,59199,1998,225,1525,Sports Car,AVAIL,13-04-23,13-04-23,BMW
Porsche Macan 2.0A PDK,346800,34210,12-03-22,1.00,2021,2.00,1800,1194,Auto,147686,62367,94889,84261,1984,195,1920,SUV,AVAIL,07-04-23,07-04-23,PORSCHE
Mercedes-Benz CLA-Class CLA180 Urban,120375,17119,26-06-18,5.00,2018,5.00,67977,740,Auto,43571,29059,38001,32683,1595,90,1430,Luxury Sedan,SOLD,01-04-23,01-04-23,MERCEDES-BENZ
Toyota C-HR Hybrid 1.8A S,68994,13611,26-06-18,5.00,2018,5.00,86377,974,Auto,26156,27739,33900,10835,1797,90,1440,SUV,SOLD,30-03-23,12-04-23,TOYOTA
Mercedes-Benz GLA-Class GLA180 Urban Edition,134288,17140,12-03-20,3.00,2019,4.00,28888,740,Auto,44649,28512,30010,31917,1595,90,1435,SUV,AVAIL,26-03-23,26-03-23,MERCEDES-BENZ
Audi A4 Avant 2.0A TFSI Quattro S-tronic (COE till 12/2029),129216,15727,06-01-10,13.00,2009,14.00,124003,1672,Auto,27061,44855,39313,44855,1984,155,1605,Stationwagon,SOLD,28-03-23,13-04-23,AUDI
Lamborghini Huracan Spyder LP610-4,780788,134370,22-04-17,6.00,2016,7.00,47000,5834,Auto,359877,283853,54405,482936,5204,449,1652,Sports Car,AVAIL,12-04-23,17-04-23,LAMBORGHINI
Nissan NV350 2.5A,62800,10550,29-03-19,4.00,2019,4.00,48486,476,Auto,15311,26445,27010,1323,2488,88,1780,Van,AVAIL,17-04-23,17-04-23,NISSAN
Honda Civic 1.8A VTi-S (COE till 12/2029),83000,12450,15-12-09,14.00,2008,15.00,180513,1369,Auto,26205,26619,39313,26619,1799,103,1219,Mid-Sized Sedan,AVAIL,17-04-23,17-04-23,HONDA
BMW 2 Series 216i Gran Tourer Luxury,156800,16640,18-06-21,2.00,2021,2.00,4900,684,Auto,70830,35426,48510,41597,1499,80,1490,MPV,AVAIL,01-04-23,06-04-23,BMW
Subaru Forester 2.0i-L,76077,14662,30-06-16,7.00,2016,7.00,99372,1208,Auto,33755,15408,57010,15408,1995,110,1566,SUV,SOLD,31-03-23,11-04-23,SUBARU
Lexus ES250 Luxury Sunroof,54800,22640,27-08-14,9.00,2014,9.00,124100,1792,Auto,36293,39966,72990,47953,2494,135,1615,Luxury Sedan,AVAIL,07-04-23,07-04-23,LEXUS
Honda Vezel Hybrid 1.5A X,93800,14050,30-04-19,4.00,2018,5.00,45100,682,Auto,39414,25618,43102,17866,1496,112,1280,SUV,AVAIL,04-04-23,04-04-23,HONDA
BMW 7 Series 740Li Sunroof,318880,38157,31-05-22,1.00,2021,2.00,69643,2384,Auto,164518,97061,95901,153535,2998,245,1815,Luxury Sedan,SOLD,12-04-23,12-04-23,BMW
Honda Shuttle 1.5A G Honda Sensing,110000,12410,15-12-21,2.00,2019,4.00,21994,682,Auto,42910,19796,45189,5000,1496,95,1130,Stationwagon,AVAIL,14-04-23,14-04-23,HONDA
Land Rover Defender 90 (COE till 08/2024),37800,27480,09-09-04,19.00,2004,19.00,82210,876,Manual,3591,45828,13055,2292,2495,100,1740,Truck,AVAIL,14-04-23,14-04-23,LAND-ROVER
Lexus NX Turbo NX200t Luxury Sunroof,103800,23510,23-06-16,7.00,2016,7.00,101000,1210,Auto,55435,47057,56000,57880,1998,175,1755,SUV,AVAIL,10-04-23,10-04-23,LEXUS
Volvo XC40 T4 Momentum,145800,19430,27-12-19,4.00,2019,4.00,49000,1176,Auto,48819,28071,38889,31300,1969,140,1695,SUV,AVAIL,28-03-23,13-04-23,VOLVO
Mercedes-Benz CLA-Class CLA180 Urban,91800,18870,16-06-17,6.00,2016,7.00,91000,740,Auto,40156,28165,52000,26431,1595,90,1430,Luxury Sedan,AVAIL,13-04-23,13-04-23,MERCEDES-BENZ
Kia Stonic 1.0T EX,110988,18280,28-02-19,4.00,2018,5.00,83000,392,Auto,20674,17274,25920,7274,998,89,1185,SUV,AVAIL,13-04-23,17-04-23,KIA
Mercedes-Benz GLC-Class GLC43 AMG 4MATIC,195800,28740,26-06-18,5.00,2018,5.00,66000,2382,Auto,91931,67237,42661,93027,2996,270,1845,SUV,AVAIL,16-04-23,16-04-23,MERCEDES-BENZ
SEAT Arona 1.0A EcoTSI Style,72177,12440,20-11-18,5.00,2018,5.00,61680,392,Auto,25879,19348,28199,9348,999,85,1210,SUV,AVAIL,25-03-23,31-03-23,SEAT
BMW 3 Series 325i Sunroof (COE till 03/2030),73888,10660,23-03-10,13.00,2010,13.00,112888,2335,Auto,24549,41943,35416,41943,2497,160,1460,Luxury Sedan,AVAIL,03-04-23,17-04-23,BMW
Maserati GranTurismo 4.2A (COE till 12/2028),119800,20970,04-02-09,14.00,2008,15.00,89000,6498,Auto,18015,124653,31553,124653,4244,298,1880,Sports Car,AVAIL,01-04-23,01-04-23,MASERATI
Honda CR-V 1.5A Turbo 7-Seater,169800,16810,29-12-21,2.00,2020,3.00,1500,682,Auto,99007,39300,88000,47020,1496,140,1590,SUV,AVAIL,07-04-23,07-04-23,HONDA
Honda Odyssey 2.4A EXV-S Sunroof,149218,17921,27-02-17,6.00,2016,7.00,65596,1630,Auto,54799,32881,48209,38034,2356,129,1855,MPV,SOLD,26-03-23,08-04-23,HONDA
Toyota Hiace 3.0M,55777,12290,31-10-17,6.00,2017,6.00,70801,701,Manual,14139,28138,31164,1407,2982,90,1700,Van,AVAIL,31-03-23,14-04-23,TOYOTA
BMW M3 Sedan Competition Package,585888,61300,11-11-21,2.00,2021,2.00,420,2378,Auto,134296,82688,59599,120839,2993,375,1805,Sports Car,AVAIL,02-04-23,02-04-23,BMW
Audi Q5 2.0A TFSI Quattro,55800,24170,23-06-14,9.00,2013,10.00,94000,1194,Auto,37664,44553,65700,54375,1984,165,1830,SUV,AVAIL,04-04-23,12-04-23,AUDI
Mercedes-Benz C-Class C180 CGI (New 10-yr COE),115800,11570,28-03-13,10.00,2013,10.00,109000,740,Auto,40370,31746,49441,31445,1595,115,1485,Luxury Sedan,AVAIL,24-03-23,15-04-23,MERCEDES-BENZ
Subaru Forester 2.0A XT Sunroof,71800,15770,11-04-17,6.00,2017,6.00,88933,1210,Auto,33166,17931,54000,17931,1998,177,1682,SUV,AVAIL,16-04-23,16-04-23,SUBARU
Audi Q7 2.0A TFSI Quattro Tip (252bhp),228530,31456,30-11-15,8.00,2015,8.00,51444,1194,Auto,89619,59115,62019,78407,1984,185,2050,SUV,SOLD,05-04-23,11-04-23,AUDI
Mercedes-Benz C-Class C180 Avantgarde,77000,20400,18-02-16,7.00,2015,8.00,93000,740,Auto,37071,36476,50089,38067,1595,115,1425,Luxury Sedan,AVAIL,14-04-23,14-04-23,MERCEDES-BENZ
Volkswagen Tiguan 2.0A TSI (COE till 12/2023),67365,13078,18-12-08,15.00,2008,15.00,114501,1791,Auto,6864,26618,15777,26618,1984,125,1667,SUV,SOLD,09-04-23,14-04-23,VOLKSWAGEN
Porsche 356B (COE till 01/2026),98126,13093,11-01-16,7.00,1963,60.00,114700,280,Manual,5224,19122,5664,19122,1582,56,870,Others,AVAIL,13-04-23,17-04-23,PORSCHE
Mercedes-Benz A-Class A200 AMG Line,165988,17750,24-09-21,2.00,2021,2.00,18000,586,Auto,72180,28814,64700,32340,1332,120,1390,Luxury Sedan,AVAIL,29-03-23,03-04-23,MERCEDES-BENZ
Mercedes-Benz C-Class C43 Coupe AMG 4MATIC Premium Plus,275777,31520,11-02-20,3.00,2019,4.00,30000,2382,Auto,118302,82965,40001,121337,2996,287,1750,Sports Car,AVAIL,14-04-23,14-04-23,MERCEDES-BENZ
Honda Freed Hybrid 1.5A G 7-Seater Honda Sensing,99500,16670,19-09-18,5.00,2018,5.00,72000,682,Auto,30355,25751,31000,18052,1496,101,1430,MPV,AVAIL,10-04-23,10-04-23,HONDA
Mazda 6 2.0A Executive,76800,14240,09-11-17,6.00,2017,6.00,120000,1210,Auto,38445,22555,49000,23577,1998,121,1472,Luxury Sedan,AVAIL,13-04-23,13-04-23,MAZDA
Honda N-Van Turbo Style Fun Honda Sensing,71500,7580,19-09-22,1.00,2022,1.00,11146,601,Auto,41738,17199,44273,860,658,78,920,Van,AVAIL,29-03-23,29-03-23,HONDA
Renault Megane Sedan 1.2A Privilege TCe,67892,13697,30-06-17,6.00,2017,6.00,83731,508,Auto,28903,19990,42801,14990,1197,97,1315,Mid-Sized Sedan,SOLD,02-04-23,06-04-23,RENAULT
Honda Jazz 1.5A RS,34800,16920,12-03-15,8.00,2015,8.00,114000,684,Auto,15260,15274,65001,5274,1498,96,1046,Hatchback,AVAIL,15-04-23,16-04-23,HONDA
BMW 1 Series 116d,48888,16520,17-12-15,8.00,2015,8.00,91000,1082,Auto,20970,23307,56989,9630,1496,85,1350,Hatchback,AVAIL,08-04-23,17-04-23,BMW
Mercedes-Benz C-Class C180 CGI Coupe (New 10-yr COE),113800,11370,08-04-13,10.00,2013,10.00,89338,740,Auto,44091,32943,57511,27943,1595,115,1505,Sports Car,AVAIL,31-03-23,08-04-23,MERCEDES-BENZ
BMW 6 Series 630Ci (COE till 08/2026),55800,16530,07-09-06,17.00,2006,17.00,121000,3573,Auto,18368,76230,54463,83853,2996,190,1580,Sports Car,AVAIL,30-03-23,30-03-23,BMW
Audi A4 1.4A TFSI S-tronic,87419,13964,28-02-17,6.00,2016,7.00,114534,624,Auto,34661,32212,50621,27097,1395,110,1450,Luxury Sedan,SOLD,26-03-23,02-04-23,AUDI
Toyota Harrier Turbo 2.0A G,109800,19600,27-10-17,6.00,2017,6.00,77000,1210,Auto,52114,35785,50001,42099,1998,170,1695,SUV,AVAIL,17-04-23,17-04-23,TOYOTA
Maserati Quattroporte S 3.0A,226888,33540,09-05-17,6.00,2014,9.00,97000,2362,Auto,149030,116343,54616,181418,2979,302,1900,Luxury Sedan,AVAIL,24-03-23,24-03-23,MASERATI
Mazda 6 2.5A,55500,15410,28-12-15,8.00,2015,8.00,62000,1786,Auto,33120,25580,62019,27812,2488,141,1513,Luxury Sedan,AVAIL,03-04-23,10-04-23,MAZDA
Toyota Estima 2.4A Aeras G (COE till 08/2030),112800,15290,25-11-10,13.00,2010,13.00,126503,2129,Auto,24275,36317,32914,36317,2362,125,1770,MPV,AVAIL,08-04-23,08-04-23,TOYOTA
Mercedes-Benz GLA-Class GLA200 AMG Line,188800,19470,01-12-21,2.00,2020,3.00,18000,586,Auto,99930,35481,79601,41674,1332,120,1485,SUV,AVAIL,14-04-23,14-04-23,MERCEDES-BENZ
Lexus IS Turbo IS200t Executive,93800,19930,18-11-16,7.00,2016,7.00,100000,1210,Auto,49012,37505,56000,44507,1998,180,1620,Luxury Sedan,AVAIL,13-04-23,13-04-23,LEXUS
BMW X3 M40i Adventure Edition,299777,28880,26-11-21,2.00,2020,3.00,29898,2384,Auto,145076,72229,79601,102013,2998,265,1870,SUV,AVAIL,14-04-23,14-04-23,BMW
Honda Fit 1.3A G (COE till 10/2023),11581,12003,16-10-08,15.00,2008,15.00,175582,885,Auto,2796,12494,15142,12494,1339,73,1010,Hatchback,SOLD,29-03-23,15-04-23,HONDA
Audi S5 Sportback 3.0A TFSI Quattro (COE till 05/2030),119000,16700,09-09-10,13.00,2010,13.00,138785,3094,Auto,23921,64290,33568,64290,2995,245,1755,Sports Car,AVAIL,15-04-23,15-04-23,AUDI
Hyundai Kona Electric Long Range Sunroof,139988,18790,23-09-19,4.00,2019,4.00,9300,1095,Auto,51730,47191,36001,38068,2271,150,1743,SUV,AVAIL,13-04-23,17-04-23,HYUNDAI
Mercedes-Benz C-Class C200 Avantgarde,73711,24316,24-09-14,9.00,2014,9.00,97441,1202,Auto,31576,37981,68689,35174,1991,135,1465,Luxury Sedan,SOLD,25-03-23,01-04-23,MERCEDES-BENZ
Mercedes-Benz S-Class S300L Sunroof (COE till 01/2028),68800,14490,15-01-08,15.00,2007,16.00,142200,3573,Auto,24818,82186,52271,90405,2997,170,1850,Luxury Sedan,AVAIL,15-04-23,15-04-23,MERCEDES-BENZ
BMW 5 Series 520i Mild Hybrid,210000,22050,28-05-21,2.00,2021,2.00,38000,1210,Auto,93762,50102,58089,62184,1998,138,1610,Luxury Sedan,AVAIL,08-04-23,08-04-23,BMW
Toyota Vellfire 2.5A Z A-Edition,108000,39970,30-06-15,8.00,2015,8.00,89000,1792,Auto,40436,34208,75002,39892,2493,134,2000,MPV,AVAIL,31-03-23,13-04-23,TOYOTA
Tesla Model 3 Electric Standard Range,195000,20420,28-12-21,2.00,2021,2.00,17000,3226,Auto,96438,59806,80989,34651,1877,239,1750,Luxury Sedan,AVAIL,27-03-23,14-04-23,TESLA
Citroen Berlingo 1.6A e-HDi,73293,9020,15-02-16,7.00,2015,8.00,72345,602,Auto,40239,18166,46001,909,1560,87,1420,Van,SOLD,26-03-23,03-04-23,CITROEN
Mercedes-Benz GLS-Class GLS400 4MATIC Sunroof,213800,41180,03-10-16,7.00,2016,7.00,96500,2382,Auto,112548,94662,58201,142392,2996,245,2425,SUV,AVAIL,30-03-23,30-03-23,MERCEDES-BENZ
Honda Shuttle Hybrid 1.5A G LED,99800,14650,13-08-19,4.00,2018,5.00,35151,682,Auto,32140,22991,34000,14188,1496,101,1190,Stationwagon,AVAIL,07-04-23,17-04-23,HONDA
Bentley Continental GT 4.0A V8,253777,71530,12-09-14,9.00,2014,9.00,55000,3940,Auto,178814,185831,73010,306496,3993,373,2295,Sports Car,AVAIL,12-04-23,17-04-23,BENTLEY
Honda Integra 2.0M (COE till 03/2026),66888,23140,08-03-06,17.00,2006,17.00,111298,1815,Manual,14707,20778,50932,22856,1998,118,1193,Sports Car,AVAIL,24-03-23,29-03-23,HONDA
Honda Civic 1.6A VTi,81873,14816,26-09-16,7.00,2016,7.00,87580,742,Auto,33592,19491,52503,19491,1597,92,1249,Mid-Sized Sedan,SOLD,08-04-23,10-04-23,HONDA
Mitsubishi Lancer EX 2.0A Ralliart (COE till 01/2030),99800,14760,19-01-10,13.00,2009,14.00,123768,1694,Auto,26673,35904,39463,35904,1998,177,1601,Sports Car,AVAIL,12-04-23,15-04-23,MITSUBISHI
Toyota Sienta 1.5A G,121800,13770,13-10-21,2.00,2019,4.00,27505,682,Auto,47173,23349,47001,9689,1496,80,1320,MPV,AVAIL,04-04-23,04-04-23,TOYOTA
Volvo S60 Diesel D4,87857,14268,21-06-16,7.00,2016,7.00,92210,1764,Auto,36074,27316,47604,20243,1969,140,1615,Luxury Sedan,SOLD,05-04-23,14-04-23,VOLVO
Volkswagen Scirocco 1.4A TSI (COE till 09/2030),103500,13910,23-09-10,13.00,2010,13.00,121000,806,Auto,24651,26121,33140,26121,1390,118,1285,Sports Car,AVAIL,14-04-23,16-04-23,VOLKSWAGEN
Subaru Forester 2.0A X (COE till 06/2025),48158,15616,28-06-10,13.00,2010,13.00,149023,1568,Auto,3360,19176,16784,19176,1994,110,1485,SUV,SOLD,10-04-23,12-04-23,SUBARU
Toyota Picnic 2.0A (COE till 06/2026),78720,15734,03-08-06,17.00,2006,17.00,79864,1815,Auto,38334,26003,48479,28604,1998,110,1540,MPV,SOLD,28-03-23,08-04-23,TOYOTA
Renault Megane Sedan Diesel 1.5A dCi,62800,13660,15-09-17,6.00,2017,6.00,91000,1048,Auto,24146,19990,46778,5000,1461,81,1320,Mid-Sized Sedan,AVAIL,13-04-23,17-04-23,RENAULT
Toyota Vellfire 2.5A Elegance Moonroof,163777,32670,15-06-17,6.00,2017,6.00,108456,1792,Auto,61564,45431,54405,55604,2494,134,2065,MPV,AVAIL,13-04-23,15-04-23,TOYOTA
Toyota Yaris Cross Hybrid 1.5A Active,118800,14290,22-03-21,2.00,2021,2.00,16073,680,Auto,42508,24007,43501,10610,1490,82,1190,SUV,SOLD,30-03-23,14-04-23,TOYOTA
Volkswagen Golf 1.4A TSI R-Line Sunroof,90936,14759,27-07-16,7.00,2016,7.00,79587,624,Auto,36173,25061,56089,17086,1395,110,1288,Hatchback,SOLD,25-03-23,25-03-23,VOLKSWAGEN
Mazda 3 1.5A Sunroof,58800,12910,21-06-17,6.00,2017,6.00,88165,682,Auto,26256,14761,46489,9761,1496,88,1310,Mid-Sized Sedan,AVAIL,16-04-23,17-04-23,MAZDA
Honda Civic Type R 2.0M (COE till 12/2028),124388,21930,17-12-08,15.00,2008,15.00,120000,1815,Manual,17894,31550,31553,31550,1998,165,1270,Sports Car,AVAIL,15-04-23,15-04-23,HONDA
Renault Grand Scenic Diesel 1.5A dCi Black Edition Sunroof,111800,14840,23-03-20,3.00,2019,4.00,25000,1048,Auto,35967,25525,32699,17735,1461,81,1540,MPV,AVAIL,28-03-23,04-04-23,RENAULT
Mercedes-Benz C-Class C180K (COE till 02/2031),83888,10650,08-12-11,12.00,2011,12.00,150007,890,Auto,31362,33405,39844,33405,1597,115,1500,Luxury Sedan,AVAIL,01-04-23,02-04-23,MERCEDES-BENZ
BMW 4 Series 420i Coupe Sport Sunroof,166800,20630,27-12-19,4.00,2019,4.00,58000,1210,Auto,67043,46607,36000,57250,1998,135,1495,Sports Car,AVAIL,07-04-23,15-04-23,BMW
Subaru Forester 2.5XT (COE till 08/2028),62800,11720,25-08-08,15.00,2008,15.00,154923,2625,Auto,18742,21692,34991,21692,2457,169,1535,SUV,AVAIL,31-03-23,11-04-23,SUBARU
Mercedes-Benz C-Class C180K Avantgarde (COE till 12/2031),112705,13097,18-04-12,11.00,2012,11.00,105305,816,Auto,43930,30319,50570,30319,1597,115,1500,Luxury Sedan,SOLD,02-04-23,02-04-23,MERCEDES-BENZ
Audi A4 2.0A TFSI S-tronic,123069,16973,04-07-18,5.00,2018,5.00,52875,1194,Auto,51096,33419,38700,38787,1984,140,1480,Luxury Sedan,SOLD,26-03-23,12-04-23,AUDI
Hyundai Elantra 1.6A GLS S,81491,11686,27-08-18,5.00,2018,5.00,48316,738,Auto,29627,12382,33798,12382,1591,94,1345,Mid-Sized Sedan,SOLD,16-04-23,16-04-23,HYUNDAI
Renault Grand Scenic Diesel 1.5A dCi Sunroof,84277,14378,01-07-16,7.00,2016,7.00,94607,1048,Auto,29676,25276,47020,17387,1461,81,1539,MPV,SOLD,24-03-23,31-03-23,RENAULT
Jeep Wrangler Unlimited,163800,28910,23-11-17,6.00,2017,6.00,85000,3036,Auto,69469,49651,57414,61512,2776,147,2253,SUV,AVAIL,06-04-23,14-04-23,JEEP
Audi A3 Sportback Mild Hybrid 1.5A TFSI S-tronic,153888,16000,31-05-22,1.00,2021,2.00,19000,684,Auto,99308,27666,95889,15733,1498,110,1395,Hatchback,AVAIL,13-04-23,13-04-23,AUDI
Honda Jazz 1.5A RS,71334,13393,11-01-16,7.00,2015,8.00,82459,684,Auto,28381,15377,54301,10377,1498,96,1046,Hatchback,SOLD,10-04-23,17-04-23,HONDA
Porsche Boxster S 3.4A PDK (COE till 07/2029),143300,22770,29-09-09,14.00,2009,14.00,118000,4295,Auto,26988,92245,42885,92245,3436,228,1455,Sports Car,AVAIL,15-04-23,15-04-23,PORSCHE
Honda Vezel Hybrid 1.5A X Brilliant Style,92652,13429,09-02-18,5.00,2017,6.00,67144,682,Auto,35183,25359,42322,17503,1496,112,1300,SUV,SOLD,29-03-23,10-04-23,HONDA
Mercedes-Benz A-Class A180,50800,18130,27-07-15,8.00,2015,8.00,151782,740,Auto,24797,22896,58700,19055,1595,90,1395,Hatchback,AVAIL,14-04-23,14-04-23,MERCEDES-BENZ
Volkswagen Golf 1.4A TSI (COE till 06/2025),35010,12902,17-06-10,13.00,2010,13.00,120094,806,Auto,6679,25585,16438,25585,1390,118,1286,Hatchback,SOLD,08-04-23,09-04-23,VOLKSWAGEN
BMW 2 Series 216i Gran Coupe Sport,155888,15390,22-08-22,1.00,2022,1.00,5000,684,Auto,100080,33474,87889,23864,1499,80,1375,Luxury Sedan,AVAIL,04-04-23,17-04-23,BMW
Volvo S60 T5,71800,15230,17-01-17,6.00,2016,7.00,91604,1176,Auto,38977,26641,53106,29298,1969,180,1557,Luxury Sedan,AVAIL,15-04-23,17-04-23,VOLVO
Mazda 6 2.5A Premium,72388,14690,03-04-17,6.00,2016,7.00,66700,1786,Auto,39443,26001,53001,28402,2488,141,1515,Luxury Sedan,AVAIL,15-04-23,15-04-23,MAZDA
Honda Freed Hybrid 1.5A G 7-Seater Honda Sensing,77800,17870,04-07-17,6.00,2017,6.00,70575,682,Auto,24601,26118,50110,5000,1496,101,1430,MPV,AVAIL,07-04-23,15-04-23,HONDA
Kia Optima K5 2.4A Sunroof,78853,14631,30-04-14,9.00,2014,9.00,53038,1634,Auto,50812,23522,77003,24931,2359,127,1580,Luxury Sedan,SOLD,07-04-23,11-04-23,KIA
Honda Vezel 1.5A X Honda Sensing,59800,14300,05-01-17,6.00,2016,7.00,90000,682,Auto,26443,22290,48000,13206,1496,96,1190,SUV,AVAIL,13-04-23,13-04-23,HONDA
Aston Martin V8 Vantage Coupe 4.7M (COE till 07/2030),204000,27970,04-08-10,13.00,2010,13.00,80000,6630,Manual,24472,159522,33568,159522,4735,313,1630,Sports Car,AVAIL,26-03-23,26-03-23,ASTON
Maserati Ghibli 3.0A,320532,35791,06-04-16,7.00,2015,8.00,23868,2362,Auto,125417,86530,44001,127754,2979,243,1850,Luxury Sedan,SOLD,01-04-23,12-04-23,MASERATI
MINI Cooper S Clubman 2.0A,137705,21529,18-07-19,4.00,2019,4.00,64252,1210,Auto,50616,37116,34000,43963,1998,141,1390,Sports Car,SOLD,30-03-23,04-04-23,MINI
Honda Shuttle 1.5A G LED Honda Sensing,91797,13440,14-07-20,3.00,2019,4.00,61478,682,Auto,29573,22063,33520,12889,1496,95,1130,Stationwagon,AVAIL,31-03-23,11-04-23,HONDA
Subaru Forester 2.0i-L Sunroof,90800,15020,21-11-18,5.00,2018,5.00,42178,1208,Auto,28127,13395,32302,13395,1995,110,1591,SUV,AVAIL,01-04-23,13-04-23,SUBARU
Mercedes-Benz S-Class S300L Sunroof (COE till 03/2029),75000,12590,25-05-09,14.00,2008,15.00,135849,3335,Auto,19675,82989,33018,82989,2997,170,1850,Luxury Sedan,AVAIL,17-04-23,17-04-23,MERCEDES-BENZ
Hyundai Avante 1.6A GLS S,87800,12200,15-11-19,4.00,2019,4.00,48000,738,Auto,33584,14945,34001,14945,1591,94,1345,Mid-Sized Sedan,AVAIL,12-04-23,12-04-23,HYUNDAI
Porsche Panamera 3.6A PDK Edition,188800,38340,29-12-15,8.00,2015,8.00,160288,3332,Auto,117125,110247,55001,170445,3605,228,1770,Sports Car,AVAIL,17-04-23,17-04-23,PORSCHE
Lexus ES250 Luxury Sunroof,144800,20540,28-11-18,5.00,2018,5.00,54566,1784,Auto,62190,47664,32302,58730,2487,152,1620,Luxury Sedan,AVAIL,07-04-23,07-04-23,LEXUS
Subaru Forester 2.0A XT Sunroof,123323,13703,22-12-16,7.00,2016,7.00,129116,1210,Auto,34552,19595,46229,19595,1998,177,1682,SUV,SOLD,02-04-23,14-04-23,SUBARU
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,58500,16080,21-03-16,7.00,2016,7.00,91000,1210,Auto,27761,22509,46970,23513,1997,106,1626,SUV,SOLD,08-04-23,15-04-23,NISSAN
BMW 5 Series 530i Luxury,133588,23160,28-09-17,6.00,2017,6.00,79500,1210,Auto,65025,49363,50101,61109,1998,185,1540,Luxury Sedan,AVAIL,13-04-23,13-04-23,BMW
Jaguar XE 2.0A,179800,19250,24-09-21,2.00,2020,3.00,9700,1210,Auto,77742,30474,70002,34664,1997,184,1679,Luxury Sedan,AVAIL,11-04-23,11-04-23,JAGUAR
Toyota Corolla Altis 1.6A LX (COE till 09/2028),55800,10240,26-09-08,15.00,2008,15.00,145000,1113,Auto,17605,16084,32339,16084,1598,80,1195,Mid-Sized Sedan,AVAIL,09-04-23,09-04-23,TOYOTA
Volkswagen Touran Diesel 1.6A TDI Sunroof,52800,17860,18-08-15,8.00,2015,8.00,95997,1182,Auto,26398,25074,56209,22104,1598,77,1601,MPV,AVAIL,15-04-23,15-04-23,VOLKSWAGEN
Jaguar XE 2.0A,174800,18570,30-09-21,2.00,2020,3.00,20000,1210,Auto,80120,31056,70002,35479,1997,184,1679,Luxury Sedan,AVAIL,10-04-23,10-04-23,JAGUAR
Kia Cerato K3 1.6A EX,65800,12140,28-03-18,5.00,2017,6.00,51938,738,Auto,28527,11490,41400,11490,1591,96,1295,Mid-Sized Sedan,AVAIL,14-04-23,14-04-23,KIA
Honda Vezel Hybrid 1.5A X Honda Sensing,66800,16260,31-03-17,6.00,2016,7.00,80000,682,Auto,22296,29649,48209,5000,1496,112,1280,SUV,AVAIL,29-03-23,29-03-23,HONDA
