model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Toyota Harrier 2.0A Elegance,"$64,800","$19,440",04-Jan-2016,2015,"88,000 km (12.1k /yr)","$1,196 /yr",Auto,"$30,147","$26,381","$58,801","$23,934","1,986 cc",111.0 kW (148 bhp),"1,580 kg",2,SUV,"Features 2.0L Inline 4 Cylinder 16 Valve DOHC Engine. CVT Auto Transmission, Producing 148bhp, Multi Function Steering, Keyless Entry/start And Stop. View specs of the Toyota Harrier (2014-2021)","Accessories 19"" Sports Rim, Electric Leather Seat, Reverse Camera And Sensors, Auto Retractable Side Mirrors, Keyless Entry/start.","Description Popular Japanese SUV model, short-term car, pristine condition! Well taken care by meticulous owner. Provided 1 year comprehensive warranty upon purchase. No further repairs are needed. Flexible loan package up to 100% provided. Lowest interest from 2.78%. Any trade in is welcome! Call us and grab it now!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Sgcarmart Warranty Cars"
Mercedes-Benz C-Class C180 Avantgarde,N.A,N.A,22-Nov-2019,2019,N.A.,$740 /yr,Auto,N.A.,"$38,805","$37,000","$46,327","1,595 cc",115.0 kW (154 bhp),"1,490 kg",2,Luxury Sedan,Features Full LED headlamps and tail lamps. 64 colour ambient lighting. Fully digital instrument display. View specs of the Mercedes-Benz C-Class Saloon (2014-2018),Accessories Premium unit (similar to C200) with wireless charging. Analog clock. Premium colour. Real leather. Rear windscreen blinds.,Description C180 Avantgarde Nov '19 C&C unit. Pristine interior and exterior condition! Accident free. Face lift model with upgraded options. Rare and upgraded paintwork with real leather seats and wireless charging. Direct seller.,"CategoryPARF Car, Direct Owner Sale",SOLD
Hyundai Accent 1.4A,N.A,N.A,12-Aug-2020,2019,N.A.,$608 /yr,Auto,N.A.,"$9,218","$32,699","$9,218","1,368 cc",73.6 kW (98 bhp),"1,115 kg",1,Mid-Sized Sedan,"Features 1.4L DOHC engine 99bhp & 133nm, 6 speeds CVT transmission, fuel efficiency 18km/l, ABS, traction control. View specs of the Hyundai Accent (2014-2020)","Accessories Keyless entry, push start/stop, Bluetooth player, reverse sensor/cam, 3M solar film, multi function steering, sport rims, airbags, leather seats.","Description 1 owner only! Immaculate condition! Like new car! View to believe! No repair needed! 120 point check from agent work shop! Buy with peace of mind! Full agent services record! Agent warranty. High trade in welcome! 100% loan available 100% loan approval, bad credit and ex-bankruptcy are welcome. Tip top condition. Call me now to view the car before it's sold!","CategoryPARF Car, Low Mileage Car",SOLD
Isuzu CYH52T,"$425,800","$45,150",19-Sep-2022,2022,25 km,N.A.,Manual,"$28,518","$102,679","$30,250","$5,134","15,681 cc",1,"21,240 kg",1,Truck,NA,Accessories Fassi F485R crane and self loader.,"Description CYH52T with ready attachment crane and self loader! Come 5 years/200,000 km warranty whichever come first and 8 time free servicing by agent. Call our friendly sales person to find out more.",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
Lexus UX200 Luxury,N.A,N.A,25-Jan-2019,2018,N.A.,"$1,198 /yr",Auto,N.A.,"$38,007","$31,001","$45,210","1,987 cc",127.0 kW (170 bhp),"1,485 kg",2,SUV,Features As per factory fitted. View specs of the Lexus UX 200 (2019-2023),Accessories View to appreciate.,NA,SOLD,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
Kia Cerato 1.6A SX Sunroof,"$91,800","$14,340",23-Jan-2019,2018,"76,084 km (18k /yr)",$738 /yr,Auto,"$27,165","$18,089","$23,568","$18,089","1,591 cc",93.8 kW (125 bhp),"1,287 kg",1,Mid-Sized Sedan,"Features 1.6L Powerful 4 Cylinder Inline 16 Valve DOHC Dual CVVT Engine, 125 Bhp, 6 Speed Auto Transmission, Keyless Entry/start/stop, Multi Function Steering. View specs of the Kia Cerato (2018-2021)","Accessories Sports Rims, Leather Seats, Bluetooth, Touchscreen Infotainment System.",Description 100% Loan Available. Agent Maintained. Come And View Now. Highest Specs With Sunroof. Everything You Need Packed In A Sedan. Trade In Welcome.,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen Golf 1.4A TSI,"$40,800","$19,970",18-Mar-2015,2014,N.A.,$624 /yr,Auto,"$13,704","$19,224","$57,199","$5,000","1,395 cc",90.0 kW (120 bhp),"1,249 kg",3,Hatchback,"Features Responsive 1.4L turbocharged engine 120bhp with 7 speed DSG, airbags, ABS, auto headlights. View specs of the Volkswagen Golf (2012-2021)",Accessories Bastuck exhaust with cert. Ap racing 6 pot brakes. K sport coilover. OZ rims. Golf R intake. Bov. GTI MK 7.5 bodykit. Android player.,"Description Stage 2 tuned. Free 1 year warranty for engine and gearbox with one time complimentary servicing. $0 downpayment, 100% loan available. Popular continental hot hatch with spacious and comfortable interior. Powerful enough for daily drive. Low fuel consumption. Free pre purchase check. Trade in welcome! Viewing available 24/7 by appointments at our showroom!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Sgcarmart Warranty Cars"
Hyundai Kona Hybrid 1.6A DCT,"$126,900","$14,670",24-Jun-2021,2021,"17,000 km (9.4k /yr)",$732 /yr,Auto,"$49,910","$26,141","$48,510","$13,598","1,580 cc",96.7 kW (129 bhp),"1,376 kg",1,SUV,"Features Inline 4 DOHC 16 valve powered engine that's paired with a polymer battery, produces a combined power of 130hp, 265nm of torque, (0-100km/h) in 11s! View specs of the Hyundai Kona Hybrid (2020-2023)","Accessories Sport rims, multi-function steering wheel, day running light, HUD, front and rear parking sensors, keyless entry/start/stop.","Description Very good condition,1 owner, low mileage unit! Hybrid synergy drive producing an excellent fuel consumption of 20km/l! Almost new unit! 100% accident free! Fully serviced and maintained at Komoco agent. Comes with 5 years warranty. 100% in house and bank loan available. Trade in welcome. Please call for more enquiries.","CategoryPARF Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 7 Series 740Li,N.A,N.A,09-May-2013,2013,N.A.,"$2,362 /yr",Auto,N.A.,"$72,102","$66,989","$101,784","2,979 cc",235.0 kW (315 bhp),"1,920 kg",2,Luxury Sedan,"Features 2.4l DOHC vvti engine, 167bhp/224nm torque, 7 speed CVT transmission, keyless entry/start, cruise control, multi steering control, airbags. View specs of the BMW 7 Series","Accessories Auto headlights, electric folding side mirrors, rain sensing wipers, soft close doors, reverse camera, rear aircon vents, front memory seats.","Description Very well maintained, original stock conditions. 7-seater with ample cabin space. Always on time for servicing, call us to arrange for a test drive!",CategoryPARF Car,SOLD
Hino FS1EKND Tipper,"$133,800","$23,740",04-Dec-2018,2018,N.A.,N.A.,Manual,"$7,247","$94,887","$12,865","$4,745","12,913 cc",1,"12,040 kg",1,Truck,,,,,
Hyundai Ioniq Hybrid 1.6A DCT Sunroof,N.A,N.A,23-Jun-2021,2021,N.A.,$732 /yr,Auto,N.A.,"$27,449","$48,510","$15,429","1,580 cc",96.7 kW (129 bhp),"1,361 kg",2,Hatchback,"Features Work Late? Call Us For An After Work Appointment, We'll Be Glad To Serve. Walk In Is Encouraged Too! Well Reputed Company To Buy Your Pre-owned. View specs of the Hyundai Ioniq Hybrid (2017-2023)","Accessories Sunroof, Keyless Entry/start/stop, Blind Spot Detection, Lane Keeping Assist, Tyre Pressure Monitor, Cruise Control, Auto Headlights With DRL.","Description Low Mileage. Superb Conditions With Zero Repairs Needed, No Gimmicks, One Of The Best Daily Commute And Cheapest In The Market. 24/7 Breakdown Recovery Service. We Welcome STA Or Pre-purchase Inspection. Reputable Company With Good Track Records, Check Out Our Reviews Too! Contact Us Now Before Its Gone!","CategoryPARF Car, Premium Ad Car, Hybrid Cars",SOLD
Toyota Hiace 3.0M DX,"$51,800","$11,320",13-Nov-2017,2017,N.A.,N.A.,Manual,"$17,085","$30,847","$37,363","$1,543","2,982 cc",2,"1,800 kg",2,Van,Features View specs of the Toyota Hiace,NA,"Description Well Know For It Reliability, Low Maintenance Expenses, Powerful & Responsive Engine! Come With 3-Months Warranty For Your Peace Of Mind On Purchasing Preowned Unit! Low Mileage, Servicing & Pre-Sales Checked Completed. Flexible Finance Scheme Or Full Payment Welcome, Trade-In Or Scrap Services Available Too. Contact Our Sales Consultant To Arrange For Viewing & Test Drive Appointment Today!",CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Suzuki Swift Sport 1.6A (COE till 02/2025),N.A,N.A,09-Feb-2010,2009,N.A.,"$1,030 /yr",Auto,N.A.,"$16,242","$16,519","$16,242","1,586 cc",92.0 kW (123 bhp),"1,100 kg",3,Hatchback,"Features Reliable and powerful 1.6L DOHC VVT engine, 123bhp, smooth 5 speed auto transmission, keyless entry/start, ABS, knockdown rear seats. View specs of the Suzuki Swift","Accessories Original factory fitted sports seats, sports rims, reverse sensors, retractable side mirrors","Description Full loan at only monthly $1,300+! we provide lowest interest rate. Loan and high trade in are available. Ex bankruptcy or bad credit can apply, fast and easy loan approval! All our vehicles has undergone a full check provided by own workshop, peace of mind! Accident free! Meet our friendly consultant for a non obligation advice.","CategoryCOE Car, Low Mileage Car",SOLD
Volkswagen Tiguan 2.0A TSI (COE till 12/2030),"$86,800","$11,250",28-Jan-2011,2010,"140,282 km (11.5k /yr)","$1,552 /yr",Auto,"$31,389","$25,983","$40,714","$25,983","1,984 cc",125.0 kW (167 bhp),"1,648 kg",More than 6,SUV,Features 2.0l 4-cylinders in-line 16v engine mated to 7-speed DSG transmission producing 170bhp & 280nm torque. Responsive and powerful SUV. View specs of the Volkswagen Tiguan (2008-2011),"Accessories Auto headlights, rain sensing wipers, multi-function steering controls, rear aircon, knockdown rear seats, etc.","Description Powerful & responsive SUV, equipped with a fast shifting DSG transmission - acceleration is a breeze with good fuel efficiency. The tiguan delivers a zippy drive! Viewing by appointment only, contact us now!","CategoryCOE Car, Consignment Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,"$153,000","$16,990",26-Oct-2021,2021,"35,662 km (24.1k /yr)",$778 /yr,Auto,"$64,133","$27,974","$61,001","$16,164","1,496 cc",174.0 kW (233 bhp),"1,350 kg",1,SUV,"Features 1.5l 4-cylinder in-line DOHC I-VTEC + I-dcd engine, combined power output 233bhp. Airbags, keyless entry/start/stop, auto LED headlights, brake hold. View specs of the Honda Vezel (2021)","Accessories Leather seat, cruise/traction control, multi-function steering, retractable side mirrors, Bluetooth, reverse camera/sensor, in car camera, solar film.","Description Huge $35000 savings from brand new unit! Additional accessories done by owner - rear aircon, ambient lighting, kick boot and electric tailgate, tweeter! One owner! Excellent fuel efficiency at 24.8km/l! Reliable and best compact SUV! Welcome STA evaluation for a piece of mind! Flexible financing schemes and in house loans available! Low interest rate. High trade in.","CategoryPARF Car, Premium Ad Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Alphard 2.5A S C-Package,"$239,400","$34,290",15-May-2019,2018,"66,800 km (17k /yr)","$1,792 /yr",Auto,"$75,569","$49,899","$48,010","$61,859","2,493 cc",134.0 kW (179 bhp),"2,030 kg",2,MPV,"Features Powered by 2.5A inline 4 cylinders DOHC producing 179bhp, 235nm torque. Super CVT-I auto transmission, front wheel drive. 75l fuel capacity.","Accessories Pioneer touch screen head unit, dash camera front and rear. Multi function steering wheel, pilot seat (mickey mouse)","Description Previous owner non-leasing. {Genuine mileage}. 1 year (130,000km) warranty by liberty insurance, well maintained to be kept in immaculate condition by particular owner. Recently polished and serviced. Dual power sliding door, luxury pilot seat {Mickey Mouse}. High loan up to 100%, low drive away available. PHV are welcome. Full loan, bank/in-house loan available at lowest interest rate","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Sgcarmart Warranty Cars"
Mercedes-Benz S-Class S400L,"$118,800","$32,110",16-Sep-2014,2014,"74,000 km (8.6k /yr)","$2,382 /yr",Auto,"$90,357","$97,016","$68,689","$146,629","2,996 cc",245.0 kW (328 bhp),"1,935 kg",1,Luxury Sedan,"Features Powerful V6 Bi-turbo 3.0L petrol engine, 328bhp, 7G-tronic plus 7 speed automatic transmission, top speed 250km/h, keyless go, airmatic suspension. View specs of the Mercedes-Benz S-Class (2013-2021)","Accessories Original audio system with reverse camera, Bluetooth interface, dual Moonroof, dual memory seats, soft closing, all round aircon, auto tailgate.","Description 1 owner only. Fully agent service by Cycle & Carriage since day 1. Luxury and comfort drive. Elegance silver paint with brown interior. Very well maintain, tip top condition. Flexible in house loan available. Low down pay for bank loan available. Trade in welcome. Please call or visit us for more details.","CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Bentley Continental GT 4.0A V8 (New 10-yr COE),N.A,N.A,31-May-2013,2013,N.A.,"$3,940 /yr",Auto,N.A.,"$197,497",N.A.,"$197,497","3,993 cc",373.0 kW (500 bhp),"2,295 kg",4,Sports Car,"Features 4.0L twin turbo V8 engine developing 500bhp and 660nm of torque, 0 to 100km/h in 4.8 seconds, top speed: 303km/h, 8 speed auto transmission & 4WD. View specs of the Bentley Continental","Accessories Air suspension, paddle shifters, soft closing doors, rear view camera, electric and memory seats, Bentley infotainment.","Description New front absorbers, airmatic pump and tyres. 22"" forged rims. Paint protection film. Genuine low mileage and well maintained. Price includes new 10 years COE. Option to buy without coe available. Consignment unit. Make an appointment for viewing. High trade in and loan available.","CategoryCOE Car, Rare & Exotic, Low Mileage Car",SOLD
SEAT Ibiza 1.0A EcoTSI DSG Style,"$109,955","$11,980",30-Sep-2021,2019,"10,300 km (6.7k /yr)",$392 /yr,Auto,"$53,524","$17,255","$48,000","$17,255",999 cc,85.0 kW (113 bhp),"1,164 kg",1,Hatchback,Features 1.0 turbocharged 113bhp. 7 speed DSG gearbox. Keyless entry/start. Cruise control. Auto headlights/rain sensor. Pre-collision warning. View specs of the SEAT Arona (2018),"Accessories Infotainment touch screen audio system with navigation, reverse cam, Apple CarPlay, Android Auto, mirror link. In-car front/rear dash cam etc.",Description Selling Below Value. Cheaper Than Japan/Korea Made. Low Road Tax $392/Yr. Very Fuel Efficiency. New SNJ No. 1 Owner. Higher Specifications With Style Edition. Original Paint Work. 100% Accident Free. Almost New In Condition. Under Warranty By Vertex Euro Motor The Authorised Distributor. Road Tax Till 9/2023. Various Loan Package Available Up To 100%. Viewing And Test Drive Are Most Welcome.,"CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
SEAT Toledo 1.4A TSI DSG Style,"$85,800","$11,140",30-Jul-2020,2019,"42,000 km (15.5k /yr)",$624 /yr,Auto,"$30,763","$19,256","$32,699","$9,256","1,395 cc",92.0 kW (123 bhp),"1,227 kg",1,Mid-Sized Sedan,"Features Power efficient 1.4L turbocharged engine 123bhp and 200nm of torque, 7 speed auto DSG transmission and cruise control. View specs of the SEAT Toledo (2018-2021)",Accessories Multi function steering wheel. Touchscreen player with Bluetooth. Factory fitted sports rims.,"Description (1 Owner) Low mileage Clocked, Reliable and Low maintenance! Good fuel consumption! Very smooth and comfortable drive. Interior and exterior is well-kept and maintained. Feels & Smell Like New Car, 100% straight chassis, No accident. One of the best bang for buck sedan you can find in sg! Full/high loan available with attractive interest rates and affordable monthly! Call Down for a test drive!","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Civic 1.6A VTi,"$72,800","$15,190",29-May-2017,2017,"102,000 km (17.3k /yr)",$742 /yr,Auto,"$35,412","$20,403","$51,106","$20,565","1,597 cc",92.0 kW (123 bhp),"1,249 kg",1,Mid-Sized Sedan,"Features 1.6L I-VTEC Engine, 123 BHP, 5 Speed Automatic With Paddle Shifters/Eco Mode, ABS, Airbags, Auto Headlights/Rain Sensors, Keyless Entry/Start/Stop View specs of the Honda Civic (2016-2021)","Accessories Sports Rims, Leather Seats, Factory Fitted Audio System, Reverse Sensors/Camera.","Description Agent maintained. Stock condition, spacious cabin and boot, smooth and powerful engine, extremely well-maintained like new, don't miss! Please contact directly to salesperson for appointment and enquiry before coming to avoid disappointment! Hurry up now",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Cerato 1.6A (COE till 01/2024),"$12,800","$17,830",05-Jan-2009,2008,N.A.,"$1,107 /yr",Auto,"$1,863","$11,333","$13,024","$11,333","1,591 cc",89.7 kW (120 bhp),"1,290 kg",3,Mid-Sized Sedan,Features View specs of the Kia Cerato,NA,Description 100% loan available! Very well maintained by previous owner with no expense spared! Used but not abused with solid looks/undercarriage assured! View to believe and appreciate. We provide loan scheme! All trade in welcome! So hurry contact us now for a viewing appointment today before it's gone!,"CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Vellfire 2.4A Z Platinum Selection (COE till 09/2031),"$139,800","$16,520",20-Jan-2012,2011,"138,000 km (12.3k /yr)","$1,966 /yr",Auto,"$49,159","$48,355","$58,124","$48,355","2,362 cc",125.0 kW (167 bhp),"1,930 kg",2,MPV,"Features 2.4l 16v DOHC VVTi powerful and reliable engine. Cruise and traction control, keyless entry and start, climatic control. View specs of the Toyota Vellfire (2008-2015)","Accessories Sports rims, premium leather with memory electric seats, multi function steering, twin Sunroof, keyless entry/start, BT media player.","Description $0 Downpayment, Rare 2 owner unit, previous owner drove for 8 years for personal use only, NON-PHV Unit, many wear and tear parts replaced, new engine mountings, cooling coil x2 etc, SG Carmart 2023 Premium Dealer Award Winner! Full loan Available, Lowest Bank & In-House Interest Rates, In House Warranty Provided, Perfect Car Condition With No Repairs Needed! High Trade in Value!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryCOE Car, Premium Ad Car, Sgcarmart Warranty Cars"
Nissan NV200 1.5M,"$43,800","$9,130",02-Feb-2018,2017,"75,000 km (14.4k /yr)",N.A.,Manual,"$19,227","$20,486","$40,101","$1,025","1,461 cc",3,"1,260 kg",3,Van,Features View specs of the Nissan NV200 (2010-2020),NA,"Description Full Loan Monthly Instalment Only $1,000 Cheaper Than Rental. Diesel Manual Van. New Company Welcome. Come And Exchange Your Old Commercial Vehicle With Us Today.",Category -,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volvo S60 T5,"$86,888","$14,820",27-Feb-2018,2017,"62,010 km (12.1k /yr)","$1,176 /yr",Auto,"$41,392","$26,813","$44,000","$29,539","1,969 cc",180.0 kW (241 bhp),"1,557 kg",1,Luxury Sedan,"Features Carro Certified. 12 months engine and gearbox warranty, no major accidents, no mileage tampering and 5-day money back guarantee. View specs of the Volvo S60 (2014-2019)",Accessories All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition the vehicle. Enquire to find out more!,"Description The Volvo S60 is the underdog in the luxury car world. It's surprisingly more affordable than most other luxury cars, yet boasts higher levels of power than the rest of the same class, making this one of the most value for money luxury cars to buy. Drop by Carro to view the largest fleet in Singapore with 100% transparency on our vehicle condition, financing options, service add-ons and many more.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz AMG GT S,"$637,500","$73,610",13-Feb-2020,2019,"13,000 km (4.1k /yr)","$3,922 /yr",Auto,"$227,429","$165,254","$37,109","$269,458","3,982 cc",384.0 kW (514 bhp),"1,665 kg",2,Sports Car,Features 4.0L V8 Biturbo AMG Engine. 7 speed AMG Speedshift DCT Producing 514bhp and 670nm of torque. 0 to 100km/h 3.8 secs.,"Accessories Facelifted Version With Updated Console. AMG Performance Seats, AMG Performance Steering Wheel, Burmester Surround Sound, AMG High Performance Brakes.",Description Agent Unit. 10 Years Engine Warranty! 100% Accident Free! Trade in accepted. STA/workshop checks welcome. Flexible loan. Lowest interest rates in town! Competitive insurance rates! Call us today!,"CategoryPARF Car, Rare & Exotic, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mazda 8 2.3A Sunroof,N.A,N.A,20-Jun-2014,2014,N.A.,"$1,520 /yr",Auto,N.A.,"$24,431","$67,304","$26,204","2,261 cc",120.0 kW (160 bhp),"1,780 kg",2,MPV,"Features Mazda 2.3l Inline 4 Cylinder VVT Engine, Pushing 160bhp Through A Smooth 5 Speed Automatic Gearbox. Keyless Entry. Sunroof Model. View specs of the Mazda 8 (2010-2015)","Accessories Twin Power Door, Rear Electric Tailgate. Electric Driver Seat. Auto Climate Control With Rear Ac Control. 7/8 Seater Configuration. Auto Fold Mirrors.","Description 2 Owner Only, Low Mileage, Well Maintained, Best For Short Term Usage, Can Further Extend 10 Years COE In Future, 100% In House And Bank Loan Available. Trade In Welcome, SMS/WhatsApp/call For Appointment And Viewing!",CategoryPARF Car,SOLD
Volkswagen Caddy 2.0A TDI,"$75,800","$9,770",19-Jan-2021,2020,N.A.,N.A.,Auto,"$21,003","$26,740","$27,070","$1,337","1,968 cc",1,"1,480 kg",1,Van,,,,,
Toyota Corolla Altis 1.6A (COE till 02/2024),"$13,800","$16,140",24-Feb-2009,2008,N.A.,"$1,113 /yr",Auto,"$2,192","$16,084","$12,864","$16,084","1,598 cc",80.0 kW (107 bhp),"1,195 kg",3,Mid-Sized Sedan,"Features 1.6L DOHC VVTI engine, smooth auto transmission, ECT, dual SRS airbags, ABS, digital climate control aircon. View specs of the Toyota Corolla","Accessories Sport rims, android player. Leather seats, solar film, fog lights, reverse sensors.","Description 100% loan available 100% loan approval, bad credit and ex-bankruptcy are welcome. Please contact our friendly sales consultant for a viewing appointment before it's gone.",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mitsubishi ASX 2.0A,"$71,800","$12,890",12-Mar-2018,2017,"120,576 km (23.6k /yr)","$1,210 /yr",Auto,"$31,132","$17,167","$39,000","$17,167","1,998 cc",110.0 kW (147 bhp),"1,365 kg",2,SUV,"Features 2.0L 4 cylinder inline DOHC MIVEC engine, 6 speed auto transmission, paddle shifters, cruise/traction control, multi function steering, daytime LED. View specs of the Mitsubishi ASX (2017-2019)","Accessories Keyless entry/push start, factory head unit with Bluetooth, reverse camera, auto retractable side mirror, leather seats, solar film.",Description Just arrived. Cheapest in the market. Superb and pristine condition. Easy to maintain. Full agent serviced with reasonable mileage done at 120576km done by last owner. Buy from case trusted company with a peace of mind. Must view the car to appreciate. Trade in and loan available. Call our friendly salesman now to make an appointment to view today! Don't miss! Call now!,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Alphard Hybrid 2.5A SR C-Package Moonroof,"$329,988","$30,330",01-Feb-2023,2022,22 km,N.A.,Auto,"$160,732","$51,970","$113,881","$65,546","2,493 cc",145.0 kW (194 bhp),N.A.,1,MPV,Features Powered By 2.5l In-line 4 Cylinder Producing 194hp & 206nm Of Torque. Come With E-CVT Gearbox For Super Fuel Efficiency! Come W/ Toyota Safety Sense View specs of the Toyota Alphard,"Accessories Panoramic Roof, Power Tailgate, Dual Power Sliding Door. Factory Fitted Leather Seats, Factory Fitted Audio Player With Reverse Camera And Bluetoot","Description Toyota Alphard SRC. Full specifications. Powerful and fuel efficient 2.5L Hybrid with idling stop technology. EV mode. Toyota safety sense. Leather interior. Smart entry twin electric sliding doors. Driver seat with memory. Reclining ottoman captain seats with side table. Rear roller blinds. Twin Moonroof. 5 years 100,000km tts aftercare warranty.","CategoryPARF Car, Rare & Exotic, Almost New Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Cerato Forte 1.6A EX (COE till 03/2024),N.A,N.A,07-Apr-2009,2009,N.A.,"$1,033 /yr",Auto,N.A.,"$12,900","$12,763","$12,900","1,591 cc",92.7 kW (124 bhp),"1,251 kg",4,Mid-Sized Sedan,,,,,
Lexus ES250 Luxury Sunroof,N.A,N.A,10-Nov-2017,2017,N.A.,"$1,792 /yr",Auto,N.A.,"$40,888","$48,109","$49,244","2,494 cc",135.0 kW (181 bhp),"1,615 kg",2,Luxury Sedan,"Features 2.5L Dual VVT-i Engine, 181 BHP, 6 Speed Automatic, ABS, Airbags, Cruise/Traction Control, Keyless Entry/Start/Stop, Auto LED Headlights/Rain Sensors. View specs of the Lexus ES 250 (2013-2018)",NA,Description 2 years warranty provided. Agent unit. Tip top conditions! View to believe Flexible Loan Package. Trade In Welcome. High Loan Available. Contact now for a viewing today!,"CategoryPARF Car, Premium Ad Car",SOLD
Mercedes-Benz GLC-Class GLC200,"$160,800","$22,360",30-Apr-2019,2019,"63,000 km (15.9k /yr)","$1,202 /yr",Auto,"$62,466","$42,557","$39,401","$51,580","1,991 cc",135.0 kW (181 bhp),"1,705 kg",1,SUV,"Features Airbags, ABS, poweful 2.0l turbocharged engine producing 181 Bhp 9g-tronic with paddle shifters, keyless go, park assist, parktronic.","Accessories Factory audio system with Bluetooth interface, cruise control, reverse camera, multi function steering, LED daytime running light, electric tailgate.","Description 1 owner. 100% genuine mileage. Rare stylish midnight blue. Superb handling and drive. Lovingly maintained by previous owner. Pristine condition. View to believe. Multiple loan options available. Trade-in welcome. Call, SMS or WhatsApp for a viewing and test drive today!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz B-Class B180 Style,"$129,800","$16,940",17-Dec-2019,2019,"56,000 km (16.8k /yr)",$586 /yr,Auto,"$49,834","$29,676","$37,000","$33,547","1,332 cc",100.0 kW (134 bhp),"1,405 kg",2,Hatchback,"Features 1.4L 128bhp, 4 Cylinder Inline Turbocharged Engine, 7G-DCT Auto, Paddle Shifter, Dynamic Select, Steering touch Button, Cruise Control, Keyless.","Accessories LED headlight/DRL, electric/memory seat, Apple CarPlay/Android Auto, Bluetooth, auto tailgate, park assit, reverse cam.","Description Facelift model with digital dashboard, Fully serviced at agent with 5 years warranty, Sg carmart 2023 premium dealer award winner! Buy with confidence! Full loan available, lowest bank & in-house interest rates, in house warranty provided, perfect car condition with no repairs needed! All vehicles undergone workshop 120 point inspection check to be certified road worthy. High trade in value!","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi A3 Sportback 1.0A TFSI S-tronic,"$99,800","$14,370",27-May-2019,2019,"56,000 km (14.4k /yr)",$392 /yr,Auto,"$34,464","$22,826","$27,000","$23,957",999 cc,85.0 kW (113 bhp),"1,275 kg",4,Hatchback,Features View specs of the Audi S3 Sportback (2009-2013),"Accessories Sport rims, mmi/smartphone/Bluetooth interface/USB audio sound system, electric leather seat, 2 zone aircon, reverse sensor, knock down rear seat.","Description Only 1.1k per month! Fully maintained by full 5 year warranty provided by Premium Auto. The 1.0l hatchback is fuel efficient, extremely economical to run. Full loan available, and trade-ins welcomed. Enquire today!","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
