model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Porsche Panamera 3.6A PDK (COE till 08/2030),"$137,800","$18,680",24-Jun-2011,2011,N.A.,"$3,998 /yr",Auto,"$24,275","$109,931","$32,914","$109,931","3,605 cc",300.0 kW (402 bhp),"1,760 kg",4,Sports Car,"Features Porsche 3.6L V6, 7 Speed PDK. RWD. Auto Headlights. Rain Sensing Wipers. Dual Zone Auto Climate Control And Rear Aircon. View specs of the Porsche Panamera (2009-2013)","Accessories Park assist, powerlift tailgate, Electric seats. Bi-Xenon light.","Description The owner took very good care of it. Beautiful Paint condition, Power Engine. Feel free to contact us for viewing, you will like the sound of the Engine.",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volvo V60 T5 R-Design,"$185,000","$22,100",25-Aug-2020,2019,"12,000 km (4.5k /yr)","$1,176 /yr",Auto,"$62,041","$37,616","$38,802","$44,663","1,969 cc",187.0 kW (250 bhp),"1,782 kg",1,Stationwagon,"Features 4 Cylinders Inline 16 Valve Turbocharged Engine, 8 Speed Transmission Producing 250bhp And 350nm. View specs of the Volvo V60 (2019-2021)","Accessories Optioned 20"" original wheels worth $3.3k, original bicycle roof rack, premium scottish cowhide upholstery, LED, DRL, Sunroof, lane departure & more.","Description Mint condition, 1 owner, extremely low mileage agent unit with active agent warranty till 2023 & servicing till 2025. Signature bursting blue exterior on black interior. Most sought after wagon loaded with safety & premium features. Premium paint protection & window tints done. Added on options worth more than $5k! $0 downpayment, full loan available. We are Sgcarmart's premium dealer 2022 & 2023.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Porsche Boxster S 3.4A PDK,"$198,888","$189,180",02-Jan-2014,2013,"80,888 km (8.7k /yr)","$3,068 /yr",Auto,"$70,101","$87,390","$77,100","$129,302","3,436 cc",232.0 kW (311 bhp),"1,425 kg",3,Sports Car,Features 3.4L Flat 6 Cylinders Mated With 7 Speed PDK Producing 311bhp And 360nm Torque. 0 To 100km/h At 5.0 Seconds. View specs of the Porsche Boxster (2005-2012),"Accessories Stock Condition. Sports Chrono, Paddle Shift, PSM, PCM With Navigation And Bluetooth, Etc.",Description Stuttgart Unit With Full Service Records. Warranty Till January 2024. Road Tax Renewed. Low Mileage Done. Owner's Spare Car. Always Park Under Shelter. Strictly No Dealer And No Consignment Please.,"CategoryPARF Car, Direct Owner Sale, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 2 Series 216i Active Tourer,N.A,N.A,30-May-2019,2019,N.A.,$684 /yr,Auto,N.A.,"$29,931","$36,704","$33,904","1,499 cc",80.0 kW (107 bhp),"1,380 kg",1,Hatchback,"Features 1.5L TwinPower turbocharged petrol engine, 107bhp, 190nm, 7 speed DCT, keyless entry/start. LED auto headlights, all auto windows. View specs of the BMW 2 Series Active Tourer (2014-2021)","Accessories Multi function steering, connected drive, Bluetooth, driving assistance, PDC with reverse camera, driver memory electric seat.","Description New arrival! Very Low Mileage Done At 34Kkm only!1 Owner! Fully Serviced And Maintained By PML. Exceptional Fuel Efficiency, Comfortable Interior Space And Come With Enormous Boot Space. Flexible Loan Package Available. Call Us Now For a Non Obligation Viewing!","CategoryPARF Car, Premium Ad Car, Low Mileage Car",SOLD
Toyota Voxy Hybrid 1.8A S G,"$209,988","$20,560",30-Jan-2023,2022,11 km,N.A.,Auto,"$112,859","$28,791","$102,002","$17,308","1,797 cc",103.0 kW (138 bhp),"1,650 kg",1,MPV,"Features 1,797cc engine hybrid with totally new look on the front and rear end, including steering and dashboard makeover in the interior. View specs of the Toyota Voxy Hybrid (2022)","Accessories Comes with floor mats, media player with Android Auto and Apple CarPlay (wireless).",Description Contact our sales staff for more info today!,"CategoryPARF Car, Almost New Car, Premium Ad Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Raize 1.0A XS (OPC),"$89,000","$10,400",11-Aug-2021,2020,"17,000 km (10.1k /yr)",$70 /yr,Auto,"$27,197","$19,498","$28,189","$5,000",996 cc,72.0 kW (96 bhp),970 kg,2,SUV,"Features 1.0L turbo-charged engine, 96bhp, D-CVT automatic, ABS, airbags, keyless entry/start/stop, auto LED headlights, knockdown rear seats, smart assist. View specs of the Toyota Raize (2020)","Accessories XS-version: crash avoidance braking function, auto high beam function, keyless start, parking sensors, reverse camera, Bluetooth.",Description Warranty and 4 free servicing packages left! High/flexible loan available! Trade-in welcome! STA check welcome! Viewing by appointment only! Call now to enquire more!,Description Warranty and 4 free servicing packages left! High/flexible loan available! Trade-in welcome! STA check welcome! Viewing by appointment only! Call now to enquire more!,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection"
Honda N-Van Turbo Style Fun Honda Sensing,"$81,800","$8,290",27-Feb-2023,2022,N.A.,N.A.,Auto,"$54,384","$17,405","$55,109",$871,658 cc,1,920 kg,1,Van,Features View specs of the Honda N-Van Petrol (2021),NA,Description Immediate ready stock! Low fuel consumption! New stylish fun Honda n-van turbo. Suitable for personal and business usage! Trade-in Available.,CategoryAlmost New Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Accord Euro R 2.0M (COE till 07/2026),"$68,800","$20,910",16-Jan-2007,2006,"60,000 km (3.7k /yr)","$1,815 /yr",Manual,"$16,974","$27,909","$51,630","$30,700","1,998 cc",162.0 kW (217 bhp),"1,390 kg",More than 6,Sports Car,"Features 2.0l k20a I-VTEC engine, 6 speed manual transmission, dual SRS airbags, retractable side mirrors. View specs of the Honda Accord Euro R (2005-2007)","Accessories Mugen Shifter, Spoon 4,5,6 Gearing, Hondata Karo v4, Original Defi White Face, New BCBR Coilover, Apexi RSM, Hardrace Camber Kit","Description Low Engine Mileage and car fully maintain by SKM. Zero Repair & Leak. Free 1 year warranty for engine and gearbox. 1 free servicing. Drive with a peace of mind.Serviced every 5,000km. OCD owner with no expenses spared. Loan and insurance will always be at the lowest rate. Full loan/ trade-in feel free to come view and quote for your car. Viewing via appointments basis only.","CategoryCOE Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
UD Trucks GKB5A,"$126,800","$19,070",09-Dec-2019,2019,N.A.,N.A.,Auto,"$16,950","$92,824","$25,502","$4,642","10,836 cc",1,"6,540 kg",1,Truck,,,,,
Nissan Note e-POWER Hybrid 1.2A Premium,"$109,800","$12,280",20-Dec-2021,2021,"7,000 km (5.3k /yr)",$714 /yr,Auto,"$54,330","$21,061","$57,010","$6,486","1,198 cc",85.0 kW (113 bhp),"1,220 kg",1,Hatchback,"Features 1.2l (petrol-electric) Engine, 113 Bhp, Single Speed Reduction Gear Automatic, ABS, Airbags, Traction/cruise Control, ISOFIX, Auto LED Headlights. View specs of the Nissan Note e-POWER Hybrid (2021)","Accessories 16"" Sports Rims, Nappa Leather Seats, Factory Fitted Audio System With Apple/android Car-play, All Round Sensors, Fog Lights, Hella In-car Cameras.","Description 1 Owner Only, Fully Serviced And Maintained By Tan Chong, 3 Years Agent Warranty, 10 Years Agent Warranty For Electric Motor, Showroom Condition! 100% Flexible Bank/in House Loan With Fast And Easy Loan Approval! Trade In Welcome. SMS/WhatsApp/call For Appointment And Viewing!","CategoryPARF Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
