model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Tesla Model 3 Electric Standard Plus,"$226,988","$21,770",23-Dec-2022,2022,"68,000 km","$2,135 /yr",Auto,"$108,151","$58,311","$107,201","$31,960",N.A.,208.0 kW (278 bhp),"1,760 kg",1,Luxury Sedan,"Features Electric motor producing 320bhp and 420nm of torque mated to a single speed fixed gear transmission, 0-100 km/h in 5.6s, top speed 225 km/h.","Accessories 15"" center touchscreen, 18"" aero wheels, front electric seats, Panoramic roof, auto climate control, keyless entry and start, blind spot monitoring.",Description Flexible financing scheme with high trade in available. Call our sales consultant today!,"CategoryPARF Car, Almost New Car, Premium Ad Car, Electric Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Citroen Berlingo 1.5A BlueHDi,"$83,900","$11,050",19-Nov-2020,2020,"44,859 km (18.6k /yr)",N.A.,Auto,"$10,545","$24,150","$13,885","$1,208","1,499 cc",2,"1,480 kg",2,Van,Features View specs of the Citroen Berlingo Diesel (2016-2022),NA,"Description 1 owner only! Well maintained and in excellent condition! Extremely low mileage! No repair needed, wear and tear has been replaced. Smooth engine and gearbox. Highest trade-in for your vehicle! High loan available! Cheapest insurance quote guaranteed! A unit not to be missed! Contact our friendly sales person now for viewing or a non obligatory discussion!",CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi A3 Sedan 1.4A TFSI Ambiente,"$39,800","$14,650",23-Jun-2015,2015,"120,195 km (15.4k /yr)",$624 /yr,Auto,"$23,774","$27,574","$66,000","$15,604","1,395 cc",92.0 kW (123 bhp),"1,310 kg",3,Luxury Sedan,"Features 1.4L Powerful TFSI engine, turbocharged to 123bhp with 200nm torque, 7 speed (A), S-tronic, ESC, ABS, 6 x SRS airbags, TRC/cruise CTL, paddle shifters View specs of the Audi S3 Sportback (2009-2013)","Accessories Drive select, Leather seat, Audi MMI, BT, auto headlights, knockdown rear seats, rev cam/sensor, dynamic rear signal, rear aircon.",Description Lowest price in Market. Orignal Condition. Flexible loan scheme available here with hassle free procedure! Low monthly repayment or lesser cash lay out can be discuss! Fast and easy loan approval! Guarantee car deliver within 3 working day and transfer ownership upon car collection! Hurry call now for availability and viewing appointment.,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi Q5 Mild Hybrid 2.0A TFSI Quattro S-tronic,"$236,800","$23,970",01-Mar-2022,2021,"20,000 km (17.7k /yr)","$1,194 /yr",Auto,"$119,109","$40,030","$93,590","$48,042","1,984 cc",183.0 kW (245 bhp),"1,825 kg",1,SUV,"Features Turbocharged 4 cylinders engine, 245bhp, torque 370nm, 6.3s 0-100 km/h, top speed 237 km/h, 70L fuel tank, 12.5 km/L, 510L boot space. View specs of the Audi Q5","Accessories Virtual cockpit, 360 reverse cam, autohold, navi, pre sense, memory seat, Apple/Android CarPlay, ambient lights, 20"" rims. Side assist and many more","Description 1 owner. Manhattan grey. Condition almost new. SQ5 body kit, 20"" Breyton sport rims. Just Done Servicing on 5/1/23. 5 years premium agent warranty. Under sheltered carpark since day 1. 100% accident free. Highest trade in. Standard/high bank loan, balloon loan, in house loan. 100% loan available. 1 day loan approval. STA Evaluation Supported For A Peace Of Mind. Test drive today at Balestier offic","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Hybrid Cars, Sgcarmart Warranty Cars"
BMW 1 Series 120i Cabriolet (COE till 01/2029),"$68,800","$11,970",14-Jan-2009,2008,N.A.,"$1,812 /yr",Auto,"$18,011","$45,550","$31,335","$45,550","1,995 cc",115.0 kW (154 bhp),"1,460 kg",More than 6,Sports Car,,,,,
Honda Airwave 1.5A M (COE till 03/2024),"$11,800","$13,050",13-Mar-2009,2008,N.A.,"$1,023 /yr",Auto,"$2,308","$16,247","$12,763","$16,247","1,496 cc",81.0 kW (108 bhp),"1,160 kg",3,Stationwagon,"Features 1.5L 16 valves I-VTEC engine, 108bhp, CVT auto transmission, dual airbags, ABS. View specs of the Honda Airwave (2008-2014)","Accessories Leather seats, sports rims, audio player with Bluetooth with reverse sensors.","Description 100% in house loan scheme available here with hassle free procedure! Lesser cash layout can be discussed! Trade in welcome! Flexible bank/in house financing option available with fast and easy loan approval! Buy with a peace of mind from a good accredited company! Hurry, call us now for availability and viewing appointment!",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Land Rover Range Rover Sport 3.0A Supercharged Autobiography,"$153,000","$96,180",20-Jan-2014,2013,"80,000 km (8.7k /yr)","$2,380 /yr",Auto,"$86,677","$104,450","$87,910","$160,010","2,995 cc",250.0 kW (335 bhp),"2,214 kg",2,SUV,Features 3.0L supercharged V6 engine. 8 speed automatic gearbox. All wheel drive with terrain response system. View specs of the Land Rover Range,Accessories 22 inch autobiography rims. Panoramic Sunroof. Black trim package. Multi way adjustable perforated leather sports seats with ventilation.,Description Well maintained. Very high spec Autobiography unit. Make an appointment to view now!,"CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Fit Hybrid 1.5A,"$85,800","$13,280",20-Jun-2019,2018,"33,800 km (8.8k /yr)",$682 /yr,Auto,"$27,803","$17,493","$35,906","$7,493","1,496 cc",101.0 kW (135 bhp),"1,080 kg",1,Hatchback,"Features Powerful and fuel efficient 1.5L 4 cylinder DOHC i-VTEC, 135bhp, 7 speed DCT transmission, airbags, ABS, ISOFIX. View specs of the Honda Fit Hybrid 2017 (2014)","Accessories Sport rims, leather upholstery, DVD/BT rev camera, keyless entry/push start, knockdown rear seats, retractable wing mirrors.","Description 1 year warranty provided.Road tax until 19Jun2023 100% in house loan from $13xx and bank loan available, lesser cash layout can be discussed, fast approval. 20km/L with a 40L fuel tank capacity an astonishing 800km with 1 full tank.","CategoryPARF Car, Premium Ad Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz Actros 2043S,"$124,800","$21,910",26-Dec-2018,2018,N.A.,N.A.,Manual,"$15,669","$94,920","$27,509","$4,746","10,677 cc",1,"7,300 kg",1,Truck,,,,,
BYD T3 Electric,"$125,800","$12,970",27-Dec-2022,2022,N.A.,N.A.,Auto,"$46,465","$23,078","$47,895","$1,154",N.A.,1,"1,620 kg",1,Van,Features View specs of the BYD T3 Electric,NA,Description double transfer unit. New registration upon loan approval. Best-selling electric van in town. Zero emission with $30K CEVS rebate before April 2023. High loan can be arranged. High trade in. Call us now!,"CategoryAlmost New Car, Electric Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz 200E (COE till 02/2024),"$10,800","$12,400",25-Aug-1993,1993,N.A.,N.A.,Auto,"$2,782","$44,346","$15,967","$66,519","1,998 cc",NA,N.A.,NA,Luxury Sedan,,,,,
Nissan NV200 1.6A DX,"$58,800","$9,210",03-Sep-2019,2019,N.A.,N.A.,Auto,"$16,279","$18,010","$25,501",$901,"1,597 cc",4,"1,220 kg",4,Van,"Features Very well maintained, smooth engine & gearbox! No repair is needed! Vehicle ready for fast handover! Full loan & high trade in available! Call us now. View specs of the Nissan NV200 Petrol","Accessories Front & back camera, alipine head unit, reverse camera, reverse sensor, full wooden floorboard w carpet wrapped, PVC/leather and many more!","Description Comes with very nice car plate (GBC 111X E). Low Mileage too. Most sought-after petrol van in the market! Original paintwork in good condition, view to believe. Please kindly make an appointment to view this auto gear nv200 workhorse. We are located at 1 Sunview road. No obligations. First come first serve basis. Flexible financing options. Competitive trade-in quotes. CALL US NOW!",CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 4 Series 430i Gran Coupe M-Sport Pro Sunroof,"$276,800","$27,050",30-Nov-2021,2021,"13,300 km (9.7k /yr)","$1,210 /yr",Auto,"$133,901","$63,887","$79,601","$86,997","1,998 cc",180.0 kW (241 bhp),"1,645 kg",1,Luxury Sedan,"Features BMW 2.0L twin power turbo 4 cylinders engine with 8 speed transmission producing 252bhp max torque 350nm, 0-100km/h 5.9 sec. Fuel consumption at 13km/ View specs of the BMW 4 Series Gran Coupe","Accessories M-Sport package with original rear spolier, high gloss shadow line, M-Sport brake in red, adaptive M chassis, M seat belts and sport seats, Sunroof.","Description Agent warranty till Nov 2026, comes along with 5 years service plus package! Ambient lighting, Harman/Kardon sound system, parking assistance system with reverse camera, tyre pressure display, flexible loan packages available, insurance assistance and trade in welcomed! Call us now for viewing!","CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Lexus IS Hybrid IS300h,"$50,000","$27,240",08-Apr-2014,2013,"138,000 km (15.3k /yr)","$1,792 /yr",Auto,"$30,765","$49,907","$77,003","$46,870","2,494 cc",164.0 kW (219 bhp),"1,635 kg",2,Luxury Sedan,"Features The IS 300h pairs a 2.5-liter direct injection engine with a powerful, self-charging electric motor to deliver 219 horsepower with maximum fuel effici View specs of the Lexus IS250 (2013-2016)","Accessories 17"" sports rims, leather seats, keyless entry/start, 4.2"" color TFT multi-information display, GPS, Bluetooth, reverse sensor/camera, electric seats.","Description Fully serviced with Borneo for past 9 years. Hybrid battery worth 10k just changed in 2022 so no worries about expensive repairs. New Hybrid warranty. Full tank up to 1000km, very fuel efficient. Powerful and silent. well kept. Sporty luxury executive sedan! Pristine condition!","CategoryPARF Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Fit 1.3A G (COE till 02/2024),"$10,300","$11,930",27-Feb-2009,2008,"135,500 km (9.6k /yr)",$885 /yr,Auto,"$2,220","$13,110","$12,864","$13,110","1,339 cc",73.0 kW (97 bhp),"1,010 kg",3,Hatchback,Features Factory Fitted View specs of the Honda Fit (2008-2013) View specs of the Honda Fit (2008-2013),Accessories Premium Upholstery Leather Seats. Knockdown Rear Seats.,Description (low cost suitable for short term commitment) cheaper than renting a car. Swift and nimble hatchback great for maneuvering and parking. Fully done up to showroom unit standard. Road tax till 2023 august. No gimmicks. Cash deal or high loan available. (cheapest in the market),"CategoryCOE Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen T-Cross 1.0A TSI R-Line,"$127,988","$13,760",29-Sep-2021,2020,"31,500 km (20.3k /yr)",$392 /yr,Auto,"$58,075","$22,373","$48,000","$23,323",999 cc,85.0 kW (113 bhp),"1,369 kg",1,SUV,"Features 8"" touch screen display, active info display digital cockpit, wireless charging, reverse camera, bluetooth, smart key. View specs of the Volkswagen T-Cross (2020)","Accessories Sports rims, R Line exterior package","Description Singapore's only certified Volkswagen pre-owned centre, the only place to find Volkswagen management unit! 115 points check by Volkswagen, certified vehicle history and mileage, no chassis/structural damage, warranty by Volkswagen valid till 28 Sept 2026 with free servicing of 45k km or 3rd year which ever come 1.Call now for appointment before it gone.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Nissan NV350 2.5M,"$53,800","$9,970",07-Sep-2018,2017,"75,320 km (16.3k /yr)",N.A.,Manual,"$13,639","$25,062","$25,283","$1,254","2,488 cc",1,"1,780 kg",1,Van,Features View specs of the Nissan NV350,Accessories Upgraded Player With Bluetooth!,"Description Engine & Gearbox Warranty Given, Drive Out With No Worries! Diesel Unit, Well Maintenance By 1 Owner! Genuine Low mileage! New Paintwork Has Been Touch Up! High Loan Are Available! Trade In Are Welcome! Call/WhatsApp Our Sales Personnel Contact Below For Further Viewing And Discussion Now!",CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi A3 Sportback 1.0A TFSI S-tronic,"$98,800","$14,170",24-Jun-2019,2019,"73,000 km (19.1k /yr)",$392 /yr,Auto,"$33,342","$21,554","$26,999","$22,176",999 cc,85.0 kW (113 bhp),"1,275 kg",1,Hatchback,"Features 1.0L Inline 3 Cylinders 12V Turbocharged Engine, 7-Speed S-tronic Auto With Drive Select, ABS, SRS, ESP, LED DRL Headlamps, Keyless Entry Push Start. View specs of the Audi A3 Sportback (2013-2020)","Accessories 16"" S/Rims, Electric Leather Seat, Integrated 8"" Audi MMI Infotainment System With BT/Rev.Cam, Multi Function Steering With Paddle Shifter, Fog Lamps.",Description 100% Loan Available! 1 Owner Only! Fully Maintained & Serviced By (Premium Automobiles) Since New Yet Still Under Agent 5 Years Warranty Program. Always Sheltered Parked Yet Seldom Driven! Guaranteed Accident Free With Low mileage Done! We Provide Various Loan Scheme With Low Driveaway! All Trade In Welcome! So Hurry Contact Us Now For A Viewing Or Test Drive Appointment Today Before It's Gone!,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Lexus IS Turbo IS200t Executive,"$108,800","$19,810",18-Aug-2017,2017,"136,000 km (24k /yr)","$1,210 /yr",Auto,"$55,356","$38,430","$53,711","$45,802","1,998 cc",180.0 kW (241 bhp),"1,620 kg",1,Luxury Sedan,Features Powerful 2.0L four cylinders inline 16 valve DOHC twin scroll turbo charged engine. Auto transmission. 241bhp. View specs of the Lexus IS 300 (2016-2020),"Accessories Sports rims. Keyless entry. Reverse camera/sensors. HID head lamps, LCD display enabling Bluetooth connectivity. Park assist. Ventilated/power seats.","Description 1 careful owner. Efficiency, refinement and pulse raising performance! Nice number plate to go along! Flexible loan and insurance options, trade in or consign your current vehicle with us! Good car waits for nobody, call us today to arrange for a viewing!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Peugeot 5008 Diesel 1.6A e-HDi ETG,"$29,500","$13,490",19-Jan-2015,2014,N.A.,"$1,144 /yr",Auto,"$17,939","$24,675","$65,889","$11,545","1,560 cc",84.0 kW (112 bhp),"1,520 kg",2,MPV,"Features SRS airbags, ABS, powerful and fuel efficient 1.6l blue hdi diesel engine, 6 speed auto with Steptronic, auto headlights / rain sensors. View specs of the Peugeot 5008 Diesel (2014-2016)","Accessories Leather seats, sports rims, audio system, Bluetooth, navigation system, reverse camera, Panoramic glass roof.","Description Elegant 7 seater continental MPV, with Panoramic glass roof, spacious interior, excellent fuel efficiency, very well maintained, easy financing, flexible in-house loan packages available.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW M3 Convertible (COE till 02/2029),"$115,000","$19,580",27-Jan-2010,2008,"124,000 km","$5,527 /yr",Auto,N.A.,"$68,648","$31,933","$68,648","3,999 cc",309.0 kW (414 bhp),"1,905 kg",5,Sports Car,"Features Powered By 4.0L V8 Engine Pulling 414bhp And 400nm Of Torque, Mated to 7 Speed DCT Gearbox, Paddle Shift With Drive Logic, iDrive. 0-100km/h In 4.6s. View specs of the BMW M3","Accessories BBS wheels, Michelin Pilot Sport 4S Tyres, M Performance Exhaust (LTA approved with cert), M Performance Steering Wheel, Apple car play, rear camera",Description All wear and tear done with receipt at reputable workshop. Selling as changing to family car.,Additional Imported Used Vehicle.,"CategoryCOE Car, Direct Owner Sale, Low Mileage Car"
Hyundai Avante 1.6A S,"$106,800","$13,550",04-Nov-2020,2020,"25,000 km (10.2k /yr)",$742 /yr,Auto,"$31,812","$18,875","$33,304","$8,875","1,598 cc",90.2 kW (120 bhp),"1,280 kg",1,Mid-Sized Sedan,"Features 1.6L DOHC Engine, 6~speed IVT Auto Transmission,ABS,Cruise/Traction Control,Keyless Entry,Retractable Side Mirrors W/ Blind Spot Alert,Lane Assist. View specs of the Hyundai Avante","Accessories Sports Rims,Leather Seats W/ Driver Electric,LCD Display Audio W/ Apple/Android CarPlay/Multisteering Controls/Reverse Cam+Sensors,Knockdown Rear Seat","Description Latest Facelift! 1 Owner Only, Fully Serviced And Maintained By Komoco Motors, 5 Years Unlimited Mileage Warranty, Showroom Condition! 100% In House And Bank Loan Available. Trade-in Welcome, SMS/WhatsApp/call For Appointment And Viewing!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mazda 3 1.5A Deluxe Sunroof,"$65,800","$13,270",22-Sep-2017,2017,"99,000 km (17.8k /yr)",$682 /yr,Auto,"$28,793","$18,964","$42,902","$13,964","1,496 cc",88.0 kW (118 bhp),"1,331 kg",1,Mid-Sized Sedan,"Features Powerful and fuel efficient 1.5L 4 cylinder inline 16 valve DOHC Skyactiv-G. 6 speed auto. ABS, airbags, keyless entry/start-stop, I-stop. View specs of the Mazda 3 Sedan (2014-2019)","Accessories Factory fitted audio system with Bluetooth connect, auto retractable side mirrors/indicators, sports rims, Sunroof.","Description 1 owner only! Original paint, extremely well maintained by fussy owner, New Road Tax till Sep2023,no repairs needed, very neat and clean interior, car in 100% stock condition, immediate transfer of ownership upon collection. Bank loan/flexible in house loan available, trade in welcome, view to appreciate, don't miss this great deal, call us now.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Alphard 2.4A S (COE till 05/2028),"$76,800","$14,980",11-Jul-2008,2008,N.A.,"$2,457 /yr",Auto,"$19,844","$39,284","$38,712","$39,284","2,362 cc",125.0 kW (167 bhp),"1,920 kg",5,MPV,"Features 2.4L powerful DOHC 16V VVT-I engine, 7 speed CVT auto, keyless system, dual power doors, dual Moonroof, SRS airbags, ABS, auto headlights. View specs of the Toyota Alphard (2008-2015)","Accessories Leather seats, sports rims, upgrade Andriod player, Bluetooth interface, auto tailgate, scuff plate, reverse sensors/big screen camera, solar films.",Description $0 downpayment available. 90% loan of the car price available by GV Cars Financing at 3.28% in 24 hours. Add on 2 years warranty on engine and gearbox by GV Motorworks. 1 to 1 exchange without cash top up. Operating hours from 11am to 10pm. Monday to sunday. Enquiries 24/7.,"CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Renault Scenic Diesel 1.5A dCi,"$82,800","$13,430",28-Nov-2018,2017,"81,000 km (18.5k /yr)","$1,048 /yr",Auto,"$25,029","$23,315","$25,000","$14,641","1,461 cc",81.0 kW (108 bhp),"1,501 kg",2,MPV,"Features 110BHP Turbocharged Diesel Engine, 260nm Torque, 7 Speed Gearbox, 0-100km/h In 13.2s, Cruise Control, Navigation, Bluetooth, Reverse Camera, ISOFIX. View specs of the Renault Grand Scenic Diesel (2017-2022)","Accessories LED DRL, Keyless Start/stop, Walk Away Auto Lock, Reverse Sensors/Camera, Rear Aircon, Auto Rain Sensors, Bluetooth, Auto Parking, Navigation.","Description Latest Addition! Coolest Scenic Unit Fully Maintained By Wearnes! Immediate Car Ownership Transfer On Collection Day Regardless Of Loan Or Cash Deal! No Gimmicks, Only Quality Cars! STA Graded Accident Free Unit! Check On Our 5/5 Stars Reviews In Google And FB! Comes With 5 Years Engine Gearbox Warranty Till Nov 2023. Depreciation At $13K Plus Yearly For Such Quality Car! Road Tax Till May 2023!","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Vellfire 2.5A Z G-Edition Moonroof,"$121,800","$34,210",25-Feb-2016,2015,"62,000 km (8.7k /yr)","$1,792 /yr",Auto,"$43,033","$39,916","$51,000","$47,883","2,493 cc",134.0 kW (179 bhp),"2,030 kg",1,MPV,Features Work Late? Call Us For An After Work Hour Appointment. We Will Be Glad To Serve At No Obligations. Well Reputated Company To Make Your Purchase From!,"Accessories Multi-zone F/r Aircon. Ventilated Memory Seat. Auto Tailgate. Ambient Lights. Collision Alert, Lane Diversion.","Description Single Owner With Decent Low Mileage! Perfectly Maintained Zero Faults Zero Repairs, No Gimmicks, Transparent Purchase, Immediate Transfer Of Vehicle Upon Collection!24/7 Breakdown Recovery Service. We Welcome STA Or Pre Purchase Inspection. Reputable Company With Good Track Records, Check Out Our Reviews Too! We Provide Loan, Insurance Trade In And Scrap Services.Call Us To View And Test Drive To","CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz Actros 2043S,"$124,800","$21,910",26-Dec-2018,2018,N.A.,N.A.,Auto,N.A.,"$94,176","$27,509","$4,709","10,677 cc",1,"7,140 kg",1,Truck,,,,,
BMW iX3 Electric M-Sport Impressive Sunroof,"$279,800","$27,160",23-Dec-2022,2022,100 km,"$2,147 /yr",Auto,"$101,467","$58,967","$105,001","$33,141",N.A.,210.0 kW (281 bhp),"2,180 kg",1,SUV,"Features 80kwh li-ion battery with 460km range. 282bhp/400nm. Century sprint in 6.8s. Rear wheel drive, single speed transmission, BMW driving assistant. View specs of the BMW iX3 Electric (2021)","Accessories Panoramic glassroof. 20"" M rims. Comfort access. Harman Kardon, Apple CarPlay and android, auto,park assist plus w/ 360 surround cam. BMW live cockpit","Description 1 owner, PML unit w/ 5 years general warranty & 8 years battery warranty. 6 times free service, road tax till Dec/2023, the only mineral white paintwork w/ mocha Vernasca leather upholstery unit in the market! Showroom condition, practically brand new. Low interest rate & high trade-in value for your car! Call us for viewing now!","CategoryPARF Car, Almost New Car, Premium Ad Car, Low Mileage Car, Electric Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Jaguar F-PACE Diesel 2.0A Prestige,"$128,800","$21,320",18-Aug-2017,2016,"70,000 km (12.4k /yr)","$1,812 /yr",Auto,"$72,555","$55,928","$50,001","$72,671","1,999 cc",132.0 kW (177 bhp),"1,770 kg",2,SUV,"Features 2.0L 4 Cylinders Inline 16 Valve Turbocharged Engine, 8 Speed Auto, Producing 177bhp, Cruise Control, Multi Function Steering, Keyless Entry/start. View specs of the Jaguar F-PACE Diesel (2016-2017)","Accessories Factory Fitted Audio System, BT/navigation, Meridian Sound System, Electric Memory Seat, Auto Tailgate/headlamp, Sport Rims, Reverse Sensors/camera.","Description Jaguar F-Pace Delivers Enhanced, Sporty Handling With Improved Fuel Efficiency. The Extraordinary SUV! Excellent Comfort And Handling. Spacious Cabin And Boot Space. Extremely Well Maintained. Immaculate Condition From Interior To Exterior. View To Believe. Very Flexible Loan Schemes Available. View To Appreciate.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Hyundai Elantra 1.6A GLS,"$72,800","$13,580",12-Apr-2018,2018,"69,300 km (13.8k /yr)",$738 /yr,Auto,"$25,996","$10,054","$38,000","$10,054","1,591 cc",93.8 kW (125 bhp),"1,345 kg",1,Mid-Sized Sedan,"Features Responsive and efficient, 1.6L 4 cylinders inline 16 valves DOHC dual CVVT engine producing 125bhp, 6 speed auto transmission, ABS, SRS airbags. View specs of the Hyundai Elantra (2016-2018)","Accessories Leather seats, sports rims, factory fitted audio system, Bluetooth, reverse sensor, foldable side mirrors, knockdown rear seats, solar films.","Description $88 Drive Away! 1 Year Warranty. We Are Casetrust Accredited Company! Full loan available with lowest interest rates, Overtrade up to $30k. Come view the car at our showroom today!","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Renault Grand Scenic Diesel 1.5A dCi Sunroof,"$52,800","$16,340",28-Dec-2015,2015,N.A.,"$1,048 /yr",Auto,"$25,545","$25,276","$56,001","$17,387","1,461 cc",81.0 kW (108 bhp),"1,539 kg",3,MPV,"Features 1.5 a turbo diesel, 7 speed fuel efficient dual clutch gearbox, keyless entry/start, eco start/stop, cruise control/limiter, rear air conditioner. View specs of the Renault Grand Scenic Diesel (2012-2017)","Accessories Panoramic roof. Premium leather seats, factory integrated touchscreen multimedia infotainment systems with Bluetooth, reverse camera, knockdown seats.",Description High loan up to 100% and $0 driveaway available! Rental scheme and phv are welcome. Hassle free paperwork with a peace of mind! Hurry call now and arrange for a friendly discussion.,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volvo S80 2.5T (COE till 03/2025),"$27,988","$14,370",29-Mar-2010,2010,"116,000 km (8.9k /yr)","$2,371 /yr",Auto,"$6,899","$42,989","$17,708","$42,989","2,521 cc",170.0 kW (227 bhp),"1,673 kg",1,Luxury Sedan,"Features 2.5l Turbocharged Engine, 6 Speed Auto Transmission, SRS Airbags, ABS, Cruise Control, Auto Headlights And Rain Sensors, Knockdown Rear Seats. View specs of the Volvo S80 (2006-2016)","Accessories Electric Leather Seats, Sports Rims, Audio System With Steering Controls, Solar Film, Reverse Sensors, Retractable Side Mirrors, Fog Lights.","Description Just Renewed 6 Months Roadtax! Rare 1 Owner, Super Low Mileage, Super Well Maintain Good Condition, Seldom Used, Spacious Interior, Low Depreciation, Worth Value For Short Term Ride, Price Negotiable. Call Us Now.","CategoryCOE Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mitsubishi Lancer EX 1.5A Sports (COE till 08/2024),"$16,800","$12,220",17-Jun-2010,2010,"170,000 km (13.2k /yr)",$889 /yr,Auto,"$4,034","$17,393","$14,664","$17,393","1,499 cc",80.0 kW (107 bhp),"1,313 kg",3,Mid-Sized Sedan,"Features 1.5L powerful and fuel efficient DOHC MIVEC engine, 4 speed auto transmission, dual SRS airbags, climatic aircon. View specs of the Mitsubishi Lancer EX (2008-2017)","Accessories Leather seats, sports rims, auto retractable mirror, keyless entry, reverse sensor, android head unit.","Description Wear and tear done up recently by previous owner! Car is fully stock and comes with newly installed Android head unit! Drive worry free till COE end! $0 downpayment, full loan available. STA evaluation/workshop check can be arranged for peace of mind. Call/WhatsApp us for a non-obligation viewing appointment today!","CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 1 Series 116d,"$54,500","$15,350",12-Jul-2016,2016,N.A.,"$1,082 /yr",Auto,"$23,198","$23,325","$52,301","$9,655","1,496 cc",85.0 kW (113 bhp),"1,350 kg",3,Hatchback,"Features 1.5L Diesel TwinPower turbocharged engine, 8 speed auto with eco/normal/sport mode View specs of the BMW 1 Series Hatchback Diesel (2015-2018)","Accessories All round sensors, factory fitted audio system, Multi function steering wheel, keyless comfort access, xenon headlights, auto climate control",Description Full loan available! Bank or in house loan is available. We provide the lowest interest rate. Loan and high trade in are available. Ex bankruptcy or bad credit can apply. Meet our friendly consultant for an non obligation advice.,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz E-Class E250 CGI (COE till 12/2030),"$95,800","$12,430",29-Dec-2010,2010,N.A.,"$1,266 /yr",Auto,"$31,367","$55,808","$40,714","$55,808","1,796 cc",150.0 kW (201 bhp),"1,650 kg",3,Luxury Sedan,"Features 1.8L 4 cylinders inline CGI Blueefficiency, turbocharged engine, 201bhp. View specs of the Mercedes-Benz E-Class Saloon","Accessories Original leather seats with electric memory, auto light and rain sensors.",Description The ever popular luxury sedan that proven it's durability and reliability! Well taken care of by owner and regularly serviced! AA Trust certified quality preowned vehicle comes with immediate loan approval. Flexible bank/in house/full loan available! Prestige condition! Hurry down to our showroom today! Don't miss this luxury unit!,CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Odyssey Hybrid 2.0A e-HEV Absolute,"$192,388","$21,150",28-May-2021,2021,"18,080 km (9.6k /yr)","$1,204 /yr",Auto,"$66,844","$46,097","$47,001","$41,536","1,993 cc",242.0 kW (324 bhp),"1,890 kg",1,MPV,"Features 2.0l petrol + HEV Hybrid Earth Dreams technology, auto park steering assistance, 360 camera, 2 x touch sensor side auto door, UV glass heat rejection. View specs of the Honda Odyssey","Accessories EV battery drive mode, full size 7 seater MPV, luxury comfort middle seats with leg rest, front anti collision brake and lane warning system.","Description Almost as good as new odyssey with low mileage record plus 2 years full warranty at reputable workshop, customize loan package available to work with.","CategoryPARF Car, Direct Owner Sale, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
